"";"Abies.sibirica_tree_2";"Abies_tree_2";"Agrostis.stolonifera_grass_3";"Alnus.alnobetula_tree_1";"Alnus_tree_1";"Alopecurus_grass_3";"Androsace_herbaceous_out";"Arabidopsis.lyrata_herbaceous_3";"Arabidopsis_herbaceous_3";"Arabis.alpina_herbaceous_2";"Avena.sativa_grass_1";"Avena_grass_1";"Betula.pendula_shrub_1";"Betula.platyphylla_shrub_1";"Betula_shrub_1";"Bistorta.officinalis_herbaceous_3";"Bistorta.vivipara_herbaceous_3";"Bistorta_herbaceous_3";"Brassica.napus_herbaceous_2";"Brassica.oleracea_herbaceous_2";"Brassica.rapa_herbaceous_2";"Brassica_herbaceous_2";"Bromus_grass_3";"Bryum.argenteum_moss_3";"Caltha.palustris_herbaceous_3";"Caltha_herbaceous_3";"Cardamine_herbaceous_5";"Carex.myosuroides_grass_2";"Carex.nigra_grass_2";"Carex.pallescens_grass_2";"Carex.rupestris_grass_2";"Carex_grass_2";"Cassiope_herbaceous_3";"Chamaenerion.angustifolium_herbaceous_3";"Chamaenerion_herbaceous_3";"Chrysanthemum.boreale_herbaceous_2";"Chrysanthemum_herbaceous_2";"Cirsium_herbaceous_3";"Cuscuta_herbaceous_3";"Deschampsia_grass_2";"Dianthus_herbaceous_2";"Distichium_moss_out";"Draba_herbaceous_4";"Dryas.grandis_herbaceous_3";"Dryas.integrifolia.x.Dryas.octopetala_herbaceous_3";"Dryas.octopetala_herbaceous_3";"Dryas_herbaceous_3";"Dryopteris.fragrans_fern_2";"Dryopteris_fern_2";"Equisetum.arvense_herbaceous_2";"Equisetum_herbaceous_2";"Erigeron_herbaceous_3";"Eriophorum.angustifolium_herbaceous_1";"Eriophorum_herbaceous_1";"Eritrichium_herbaceous_3";"Festuca_grass_pH.tolerant";"Fragaria.vesca_herbaceous_3";"Fragaria_herbaceous_3";"Geranium_herbaceous_2";"Geum_herbaceous_2";"Hedysarum.consanguineum_herbaceous_3";"Hedysarum_herbaceous_3";"Juniperus.communis_shrub_2";"Juniperus_shrub_2";"Larix.sibirica_tree_1";"Larix_tree_1";"Linum.usitatissimum_herbaceous_out";"Linum_herbaceous_out";"Luzula_herbaceous_2";"Marchantia.polymorpha_moss_2";"Medicago_herbaceous_3";"Micranthes.integrifolia_herbaceous_3";"Micranthes_herbaceous_3";"Myosotis.alpestris_herbaceous_3";"Myosotis_herbaceous_3";"Oxygraphis.glacialis_herbaceous_1";"Oxyria.digyna_herbaceous_3";"Oxyria_herbaceous_3";"Papaver.nudicaule_herbaceous_3";"Papaver_herbaceous_3";"Pedicularis.oederi_herbaceous_3";"Pedicularis.verticillata_herbaceous_3";"Pedicularis_herbaceous_3";"Picea.abies_tree_1";"Picea_tree_1";"Pinus_tree_1";"Poa.palustris_grass_2";"Poa.pratensis_grass_2";"Poa_grass_2";"Polytrichastrum.alpinum_moss_unknown";"Polytrichum.commune_moss_3";"Polytrichum.juniperinum_moss_3";"Polytrichum_moss_3";"Populus.alba_shrub_3";"Populus.nigra_shrub_3";"Populus.tremula_shrub_3";"Populus_shrub_3";"Potentilla_herbaceous_2";"Pyrola.rotundifolia_herbaceous_3";"Pyrola_herbaceous_3";"Rhodiola_herbaceous_2";"Ribes_shrub_3";"Rumex.acetosa_herbaceous_1";"Rumex_herbaceous_unknown";"Salix.pentandra_shrub_2";"Salix.rorida_shrub_2";"Salix.sp._shrub_2";"Salix.triandra_shrub_2";"Salix.viminalis.x.Salix.schwerinii_shrub_2";"Salix.viminalis_shrub_2";"Salix_shrub_2";"Saussurea_herbaceous_3";"Saxifraga.cernua_herbaceous_4";"Saxifraga.sinomontana_herbaceous_4";"Saxifraga_herbaceous_4";"Silene.latifolia_herbaceous_1";"Silene_herbaceous_1";"Smelowskia_herbaceous_out";"Spiraea_shrub_2";"Taraxacum_herbaceous_2";"Thymus_herbaceous_2";"Trigonotis.peduncularis_herbaceous_out";"Triticum.aestivum_grass_3";"Triticum_grass_3";"Turritis.glabra_herbaceous_3";"Vaccinium.uliginosum_herbaceous_1";"Vaccinium.vitis.idaea_herbaceous_1";"Vaccinium_herbaceous_1";"Valeriana.officinalis_herbaceous_2";"Valeriana_herbaceous_2";"Veratrum_herbaceous_3";"Veronica_herbaceous_3";"Woodsia_fern_4"
"6890";2,3;2,19;0;39,93;84,89;0;0;0;2,13;0;0;0;146,77;4,1;32,34;0;0;2,33;0;0;0;0;0;0;6,46;2,01;0;0;2,27;0;0;29,44;0;316,34;0;0;0;0;0;1,97;0;0;0;0;0;0;21,18;0;2,22;50,5;68,39;0;0;0;0;0;0;0;13,02;0;0;2,1;0;0;563,8;59,16;0;0;0;0;0;0;0;0;2,37;0;0;0;0;0;0;0;0;335,4;291,78;3,91;0;0;0;0;0;0;0;53,6;0;0;1108,33;0;0;0;0;2,49;0;0;17,48;0;0;0;2,13;2,1;562,11;0;0;0;4,65;0;0;0;2,16;0;0;0;0;2,52;0;0;0;4,06;0;0;4,07;0;0
"7562";0;0,95;0;32,28;65,92;0;0;0;4,3;2,95;0;0;149,52;8,56;39,95;0;0;1,81;1;0;0;0;0;0;8,92;0;0;0;0;0;0;32,28;0;361,05;1,17;0;0;1,08;0;4,22;0;0;0;0;0;5,86;22,25;1,06;0;35,17;40,94;0;0;0;0;0;0;0,95;9,02;0;0;0;0;3,65;403,29;27,34;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;243,14;233,27;2,28;0;1,1;0;0;4,23;0;0;49,03;0;0,97;1460,74;1,09;3,2;0;0;2,26;2,21;0;13,01;0;0;0;0;8,82;539,78;0;0;0;2,3;0;0;0;2,12;0;0;0;4,49;1,09;0;0;1,2;9,9;0;0;3,28;0;0
"8513";0;0,97;0;32,46;53,36;0;0;0;4,39;0;0;0;107,03;11,55;33,79;0;0;7,96;0;1,08;0;0;0;0;1,06;0;0;0;0;0;0;37,25;0;274,52;0;0;2,13;0;1,82;2,82;0;0;0;0;0;2,21;7,17;1,04;0;19,34;45,3;0;0;0;0;0;0;0;4,31;0;0;0;0;1;955,45;60,01;0;0;0;0;0,94;0;0;0;1,11;0;0;0;0;0;0;0;0;245,43;217,99;0,99;0;0;0;0;1,08;0;0;47,7;0;1,2;1245,03;3,31;3,01;1,13;0;3;0;0;14,63;0;0;0;1,02;4,94;378,57;0;0;0;3,65;0;0;0;10,17;0;0;0;0;0;0;0;0;0;0;0;2,08;0;0
"9190";0;3,52;0;46,41;69,11;0;0;0;5,78;0,61;3,02;0;127,93;8,7;40,9;0;0,53;7,23;0;0;1,13;0;0;0;2,72;0,61;0,66;0;0;0;0;47,63;0;314,67;0,65;0;0,68;0;0;6,09;0;0;0;0;0;5,46;30,19;4,38;7,48;32,98;33,49;0;0;0;0;0;0;0,78;4,04;0;0;1,8;0;0;636,47;59,49;0;0;0;0,67;1,92;0;0;0;0;0;0;0;0;0;0;0;3,19;117,62;190,32;0,62;0;1,08;0;0;0;0;0;99,39;0;0,58;1513,96;4,27;0;0;0;1,68;0;0;13,81;0;0;0;0;2,99;384,16;0;0;0;3,56;0;0;0;1,75;0;0;0;2,36;1,59;0;0;0,66;1,72;0;0;0,62;1,34;0
"9816";0;0;0;46,74;52,86;0;0;0;5,5;0,8;0;0;131,55;7,61;46,8;0;0;6,52;0,41;0;0;1,28;0;0;0,51;0;0;0;1,48;0;0;46,06;0;266,74;2,58;0,43;0;0,36;0,43;5,79;0;0;0;0;0;1;11,73;1,64;1,67;25,68;32,72;0;0;0;0;0;0;1,5;8,31;0;0;0,92;0,35;0,97;670,62;50,41;0,85;0;0;0;0,45;0;0;0;0,43;0;0;0;0;0,37;0;0;0;27,26;41,92;1,99;0;1,43;0;0;0,48;0;0;111,6;0,52;2,06;1687,16;0,38;4,42;0;0;0;0;0;18,72;0;0,44;0;0,49;4,29;495,78;0,53;0;0;3,02;0;0,49;0;5,13;0;0;0;3,21;3,18;0,53;0;0;3,81;0;0,61;1,04;0,44;0
"10091";0;0;0;34,83;58,66;0;0,44;0;4,37;0,64;0;0,7;138,84;12,03;46,06;0;0;4,26;0;0,34;0;0;0;0;0,99;0;0;0;0,35;0;0;26,41;0;213,67;0,9;0;0;0,37;0;4,39;0;0;0,76;0;0;1,22;16,01;1,12;0,7;17,7;17,45;0;0;0;0;0;0;0,49;2,58;0;0;2,08;0,79;0;715,25;61,24;0,26;0;0;0;0,94;0;0;0;0;0;0,59;0;0;0,31;0;0;0,71;7,06;6,44;0;0;0;0;0;0;0;0;123,68;0;2,91;1846,94;0,76;2,77;0;0;0,66;0;0;15,08;0;0;0;0,39;5,47;437,58;0;0;0;2,63;0;0;0;8,05;0;0;0;1,68;0,94;0;0;1,24;0,86;0;1,1;0;0,31;0
"10428";0;0;0;4,38;0;0;0;0;71,39;34,69;0;8,16;98,63;4,64;12,74;0;0;17,31;0;0;0;12,66;0;0;0;0;0;0;0;0;0;154,5;0;304,63;0;0;0;0;0;17,15;0;0;0;0;0;22,03;298,64;0;0;8,85;0;0;0;0;0;0;0;0;0;4,46;0;0;0;0;4,64;0;0;0;0;0;12,85;0;9,33;0;0;0;4,38;0;0;0;0;0;25,15;8,32;4,51;0;0;16,69;4,09;4,17;8,76;0;0;17,19;0;0;1759,33;0;0;0;0;0;4,2;4,36;29,43;0;0;0;0;12,86;777,45;0;0;0;47,21;0;0;0;0;0;0;0;16,99;8,23;0;0;0;0;0;0;0;0;0
"11536";0;0;0;21,11;26,21;0;0;1,05;4,6;0;3,56;0;42,45;0,86;5,63;0;0;6,65;0;0;0;0;0;0;1;1,01;0;0;0,83;0;0;26,41;0;231,87;1,99;0;0;0;0;5,9;0;0;0;0;0;0,85;22,1;3,7;1,02;13,82;25,82;0;0;0;0;0;0;0;0;0;0;0;1,99;0;1795,56;156,2;0,96;0;0;0;0,85;0;0;0;0;0;0;0;0;0;0;0;0;2,06;0;0;0;4,7;1,06;0;0;0;0;12,55;0;0;947,72;0,86;1,09;0;0;1,97;0;0;15,82;0;0,85;0;0;4,92;440,67;0;0;0;2,04;0;0;0;9,6;0;0;0;0,98;2,08;0;0;0;1,05;0;0,98;0;0;0
"11791";0;0;0;0;3,03;0;0;0;57,09;11,47;0;0;57,04;0;12,53;0;2,71;76,77;0;0;0;6,03;0;2,77;0;0;0;0;3,12;0;0;252,31;0;409,92;3,19;0;0;0;0;47,32;0;0;0;0;0;6,08;205,46;0;0;3,06;2,99;0;0;0;0;0;0;5,88;0;0;0;9,1;0;0;11,86;2,72;0;3,01;0;0;3,08;0;0;0;0;0;0;0;0;11,9;2,96;3,43;26,93;0;11,59;8,86;0;15,25;2,94;3,3;2,81;0;0;32,94;0;0;1458,25;5,95;5,65;0;0;0;0;0;23,45;0;0;0;0;9,25;938,45;0;0;0;63,23;3,3;0;2,76;0;0;0;0;8,58;9,02;0;0;0;2,8;0;2,86;0;0;0
"12992";0;0;0;2,83;2,54;0;0,84;0;27,78;2,52;0;0;197,42;21,89;76,64;0,83;0;24,07;1,68;0;0;0;0;0;0;0;0;0;3,47;0;0;93,37;0;378,83;0,84;0;0,92;0;0;7,54;0;0;0;0;0,95;20,91;141,28;67,32;49,51;16,28;22,76;0;0;0;0;0;0;1,84;0;0;0;4,37;0;0;4,65;2,5;0;0;0;0;5,42;0;0;0;0;0;0;0,86;0;2,69;0;0;2,94;0,87;1,85;0;0;0;0;0;3,81;0;0;37,35;0;0;1575,68;3,74;1,61;0;0;0;0;0;24,13;0,83;0;0;0,98;5,86;930,07;0;0;0,89;15,43;0;0;0;0;0;1,01;0;25,52;36,27;0;0;0;0;0;0;0;0;0,81
"13588";0;0;0;1,11;13,53;0;0;1,39;56,59;18,02;0;2,16;53,36;1,3;6,36;0;3,64;67,23;1,2;0;1,4;4,07;0;0;0;0;2,56;0;3,79;0;0;128,4;0;199,49;0;1,31;0;0;0;15,57;0;0;0;0;0;28,28;212,56;1,29;0;0;2,67;0;0;0;0;0;0;1,07;0;2,36;0;15,98;0;0;3,5;0;0;0;0;0;7,72;0;3,66;0;0;0;0;0;1,21;2,45;0;0;14,05;1,09;0;0;0;2,41;0;0;0;1,49;1,31;64,32;0;0;1877,58;6,33;0;0;0;0;1,28;0;16,08;0;0;0;0;7,81;941,78;2,61;0;3,76;27,47;0;0;0;0;0;0;0;8,99;11,41;0;0;0;0;0;0;0;0;0
"13746";0;0;0;0;9,11;0;0;8,72;88,3;0;70,6;0;193,81;0;26,51;0;0;9,22;17,22;0;0;17,15;0;0;0;0;18,1;0;18,23;0;0;245,67;0;306,31;0;0;0;0;0;25,93;0;0;0;0;0;8,67;316,64;0;0;8,92;8,58;0;0;0;0;0;0;0;0;0;0;27,21;0;0;0;0;0;0;0;8,97;8,69;0;0;0;0;0;0;0;0;0;0;0;8,88;8,82;0;0;0;8,87;0;0;0;0;0;52,91;0;0;1478,2;0;0;0;0;0;0;0;0;0;0;0;0;8,68;750,78;0;0;0;61,18;0;0;0;0;0;0;0;0;34,12;0;0;0;0;0;0;0;0;0
"13930";0;0;2,91;1,34;4,28;0;0;1,35;83,88;8,55;0;4,2;168,62;13,22;44,73;1,55;0;11,24;1,34;0;0;8,65;0;1,48;0;0;1,38;0;6,94;0;0;184,43;0;432,28;0;1,3;0;0;0;28,51;0;0;1,47;0;0;37,12;205,28;0;0;6,63;12,6;0;0;0;0;0;0;2,97;0;0;0;20,28;0;0;1,69;2,85;0;0;0;0;22,55;0;2,77;0;3,1;0;0;0;2,76;9,72;2,74;0;11,5;1,47;2,81;0;0;15,78;1,22;1,33;0;0;0;19,05;0;0;1542,53;3,17;0;0;1,31;0;0;0;26,99;0;0;0;2,52;7,77;775,73;0;0;1,45;42,56;0;4,15;0;0;0;0;0;26,87;16,2;2,62;0;0;0;0;1,26;0;0;0
"14020";0;0;0;1,33;2,52;0;0;0;32,53;7,22;0;2,99;25,57;1,41;3,81;0;0;65,12;0;1,31;0;5,68;0;0;0;0;2,73;0;4,12;0;0;144,52;0;116,48;2,66;0;0;0;0;17,34;0;1,31;0;0;0;40,41;364,11;0;1,25;1,22;1,35;0;0;0;0;1,44;0;3,23;0;1,3;0;9,58;0;0;4,51;1,4;2,97;0;0;0;2,69;0;0;0;0;0;0;1,43;0;1,42;0;0;9,85;8,6;1,6;8,82;0;5,36;0;0;2,96;0;0;56,43;0;0;1912,36;4,11;0;0;1,26;0;1,4;1,25;33,52;0;2,8;0;0;2,94;858,76;1,44;0;1,56;24,68;1,34;1,43;0;0;0;0;0;9,55;23,15;0;0;0;1,4;0;1,47;0;0;0
"14315";0;2,19;0;4,45;9,11;0;0;2,24;17,88;4,63;0;0;66,15;2,01;2,3;0;2,33;50,02;0;2,38;0;2,24;2,33;0;2,39;0;0;0;0;0;0;115,41;0;865,7;4,58;0;0;0;0;6,66;0;0;2,09;0;2,16;25,34;211,67;0;0;2,33;7,04;0;0;0;0;0;0;2,19;0;2,29;0;2,36;0;0;8,75;6,33;0;0;2,3;0;6,44;2,11;0;0;0;0;0;0;0;0;2,28;0;6,24;8,96;6,69;4,44;0;7,06;0;0;2,23;0;0;41,51;0;0;1293,02;6,13;0;0;0;0;2,27;0;15,88;0;0;0;4,69;4,63;970,19;0;0;0;14,08;0;0;0;0;0;0;0;7,03;4,86;0;0;0;2,31;0;2,1;0;0;0
"14669";0;1;0;9,13;9,67;0;0;0;20,96;0,78;3,81;0,89;8,38;0;2,85;0;0;23,77;0;2,13;0;3,08;0;0;1,95;0;0;1,04;0;0;0;62,58;0;269,97;0;0,99;0;0;0;4,76;0;1,16;0;0;0;33,72;2309,12;0;0;3;0,87;1,01;0;0;0,75;0;0;1,98;0;3,54;0;8,41;0;0;5,83;0,84;1,8;0;0;0;2,75;0;0;0;0;0,85;0;0,98;0;2,08;0;0;5,1;0;0;0;0;0,99;0;0;0;0;0;11,32;0;0;528,53;5,78;0;0;0;0;0,99;0;5,13;0;0;0;0;1,82;436,05;0;0;0;41,4;1,04;0;0;0;0;0,85;0;1,9;4,78;0;0;0;1,94;0;0,95;0;0;0
"15123";0,67;0;0;8,79;8,78;0;0;0,57;14,44;3,88;0;1,76;29,13;2,24;6,23;0,55;0;49,95;0;0;0;2,91;0;0;0,65;0,61;0;0;1,31;0;0;75,25;0;558,2;3,52;1,26;0;0;0;6,85;0;0;1,18;0;0,59;27,96;322,44;0,41;0;0,54;3,84;0;0;0,64;0;0;1,15;65,13;0;0;0;9,62;0;0;4,69;0,43;0;0;0;0;6,13;0;2,21;0;0,64;0;0;0;0;1,38;0,67;0;8,52;2,46;2,46;3,23;0;2,63;0;0;2,41;0;0,65;37,59;0;0;1361,02;300;1,26;0;0;0;0,41;0,62;27,23;0;0;0;1,27;6,58;830,57;0,7;0;0;21,64;0,43;0,59;0,58;0;0,53;0;0;3,4;6,81;0,62;0;0;1,83;0;1,14;0;0;0,62
"15599";0;0;0;5,51;8,91;0;0;0;19,67;0,72;19,2;1,79;31,74;0,7;12,45;0;0,66;74,03;0;0;0;0,71;0;0;1,9;0;0;1,39;4,77;0;0;134,29;0;354,53;0;0,52;0;0;0;13,92;0;0;1,27;0;0,63;20,17;256,67;1,41;0;4,61;5,01;1,33;0;0;0;0;0;3,2;0;3,02;0;9,44;0;0;7,65;0;0,8;0;0;0;2,69;0;0;0;0;2,24;0;0,67;0;3,06;0;0;14,85;1,91;1,73;0;0;2,22;0;1,34;1,32;0;0;31,88;0;0;1700,03;18,23;0;0;0,57;0;1,16;0;22,82;0;0;0,74;0,72;7,4;986,22;1,33;0;0,84;31,1;0;0,74;0;0;2,07;0,7;0;5,6;4,49;0,66;0;0;1,28;0;0,58;0;0;1,19
"16084";0;0;0;4,16;7,22;0,19;0,23;0;14,83;2,2;0;0,38;31,04;2;7,5;0;0,77;31,87;0;0,22;0,24;2,47;0;0,23;0,74;0;0,15;0;1,75;0;0;50,31;0,21;737,45;1,32;0,42;0,8;0;0;6,37;0,74;0;0;0;1,11;23,19;202,97;0,99;0,21;2,35;1,69;0;0,15;0;0;0,25;0;1,54;0;1,31;0,31;10,29;0;0;3,04;0,21;0,89;0;0,4;0;4,09;0,27;0,11;0,19;0,14;0;0,18;0,41;0;1,45;0,26;0,35;10,64;1,5;0,15;1,57;0,33;2,89;0,21;0,2;1,12;0,46;0;44,37;0;0,18;1812,71;8,09;0,92;0;0,2;0;0,45;0,55;27,63;0,18;0,23;0;0,81;7,12;732,59;0,67;0,21;1,52;24,86;0,61;0,12;0;0;0;0;0;1,95;3,45;0,53;0;0;0,68;0;0,99;0;0;0,15
"16541";0;0;0;8,86;20,87;0;0,44;0;23,56;2,22;0;1,51;44,22;2,15;9,28;0;0,48;52,33;0;0;0;1,63;0;0;4,44;0,45;0;0;4,34;0,45;0;114,44;0,73;720,07;1,77;0;0;0;0;4,96;0;0;0,56;0;0;23,22;226;1,59;2;7,02;4,97;0;0,47;0;0;0,9;0;3,19;0;4,4;0;13,61;0;0;6,81;1,18;0;0;0,63;0;6,18;0;0,64;0;0;0;0;0;0;1;0,54;0;14,62;4,29;2,84;0;0,53;3,87;0;0;0,55;0;0;27,79;0;0,61;1409,47;12,96;2,56;0,54;0;0;1,07;2,01;17,2;0;0;0;0,41;7,98;975,01;0,52;0;0;30,01;0;0;0,52;0;0,64;0;0;5,9;4,86;0;0;0;2,62;0;1,51;0;0;0
"16946";0;1,02;0;4,62;19,1;0;0;0;5,95;6,01;1,93;0;38,13;2,35;5,67;0;0;45,64;0;0;0;0;0;0;1,31;0;0;1,21;0;0;0;92,36;0;687,06;1,4;0;0;0;0;5,95;0;0;1;0;1,17;11,97;229,72;3,54;1,29;6,75;1,14;0;0;0;0;0;0;1,4;0;0;0;14;0;0;9,48;1,29;0;0;1,04;0;3,76;0;0;0;0;0;0;1,05;0;3,61;0;1,16;8,85;0;1,08;0;0;6,01;0;0;1,13;0;0;47,35;0;0;1468,31;11,54;0;0;1,45;0;1,29;0;22,38;1,11;1,24;0;1,17;5,8;1015,13;0;0;0;30,62;0;0;0;0;1,34;0;0;3,54;4,51;0;0;0;5,79;0;1,09;0;0;1,19
"17222";0;0;0,23;2;5,44;0;0,38;0,44;14,39;2,39;0;0,77;32,11;1,93;6,98;0;0;38,64;0,16;0,19;0;2,61;0;0;1,59;0;0;0;1,83;0;0,26;53,13;0;650,02;1,12;0,56;0;0;0;6,02;0;0;0,48;0;1,24;19,49;195,91;1,15;0,13;3,01;4,79;0;0;0,64;0,84;0;0,23;1,7;0;1,74;0;9;0;0;2,97;0,69;0;0;0;0;4,45;0;0;0,61;0;0,21;0;0;0;0,99;0,46;0,22;10,78;2,64;4,91;0,81;0;2,39;0;0;0,59;0,19;0;40,22;0,29;0;1873,08;3,31;0,19;0;0,35;0;0,36;0;23,08;0;0,18;0;1,55;8,95;770,59;0,64;0;0,85;22,95;0,46;0,25;0;0;0,19;0;0;4,32;3,36;0;0,17;0;1,71;0,21;1,1;0;0;0,19
"17948";0;0,18;0;3,72;3,06;0,18;0,18;0;5,02;1,32;4,43;0,38;14,14;0,98;2,66;0;0;21,87;0,36;0,16;0,26;1,55;0;0;0,57;0,22;0;0,11;0,68;0,1;0,18;27,27;0;417,67;1,05;0,08;0;0;0,21;2,72;0;0;0,19;0,33;1,6;58,08;1688,79;0,87;0,18;1,57;1,57;0,16;0;0;0;0;0,54;1,65;0;0,8;0;6,34;0;0;1,35;0,77;0;0,22;0,27;0;1,98;0;0,45;0;0;0,21;0,44;0,44;0;0,8;0,28;0;6,12;0;0,27;0;0;1,39;0;0;0;0,18;0,21;18,34;0;0;1050,18;6,49;0;0;0,3;0;0,83;0,25;14,23;0;0,15;0,21;0;5,26;429,01;0,19;0,2;0,91;14,46;0,21;0,18;0;0;0;0,28;0,18;6,85;14,81;0;0,13;0;0,35;0,19;1,45;0;0;0
"18715";0;0;0;5,37;13,27;0;0;0;14,46;1,99;8,6;1,14;34,26;0,96;10,88;0;0,96;39,58;1,2;0,61;0;1,62;0;0;1,56;0;0;0,6;2,08;0;0;72,02;0;694,58;3,33;0;0,5;0;0;5,77;0,45;0;0,4;0,52;0;19,33;247,32;3,28;0,99;1,92;5,95;0;0;0,94;0,5;0;0;1,08;0;1,73;0,4;15,04;0;0;7,2;1,06;0;0;0,55;0;8,68;0;0;0,62;0;0,87;0;0;0;1,48;1,15;0;8;2,26;0,52;0;0,57;2,02;0;0;0,62;0;0;34,37;0;0;1605,79;5,51;1,05;0;0;0;0;0;23,29;0;0;0;0;6,6;885,18;0,48;0;1,12;26,24;0;0;0;0;0;0,54;0;4,6;5,36;0,6;0;0;2,19;0;1,29;0;0;0
"19192";0;0,62;0;5,32;6,29;0,4;0,44;0,9;15,16;4,18;0;0,94;43,31;1,03;9,57;0,54;0,98;45,71;0,57;0,43;0;1,93;0;0,7;1,37;0,91;0;0;3,16;0;0;133,44;0;648,87;2,94;0;0;0;0;9,58;0;0;0,97;0;0;18,86;229,66;1,01;1,11;7,15;7,33;0;0;0;0;1,2;0;2,73;0;1,94;0;8,52;0;0;3,78;1,39;0,59;0,56;0;0;6,93;0;0;0;0,51;0;0;0;0;1,03;1,59;0,49;11,42;1,51;0,4;0;0;2,13;0,48;0,51;0,53;0;0;42,84;0;0;1495,45;7,7;0,42;0;0;0;1,7;0,44;15,05;0;1,61;0;2,03;8,49;973,86;1,49;0,48;0;28,74;0;0;0;0;1,8;0;0;6,25;8,21;0;0;0;2,72;0;2,1;0;0;0
