Name;ecology;pH;real_5
Lentinula;saprotroph;unknown;out
Lentinula edodes;saprotroph;unknown;out
Leohumicola;mycorrhizae;slightly acidic;2
Leohumicola lenta;mycorrhizae;slightly acidic;2
leotiomyceta;unknown;unknown;out
Leotiomycetes;unknown;unknown;out
Leotiomycetes incertae sedis;unknown;unknown;out
Leprocaulaceae;lichen;unknown;out
Leprocaulales;lichen;unknown;out
Leptogium;lichen;slightly acidic;2
Leptogium hirsutum;lichen;slightly acidic;2
Leptosphaeria;parasite;slightly acidic;2
Leptosphaeria biglobosa;parasite;slightly acidic;2
Leptosphaeria biglobosa 'brassicae' group;parasite;slightly acidic;2
Leptosphaeria biglobosa 'thlaspii' group;parasite;slightly acidic;2
Leptosphaeria maculans;parasite;slightly acidic;2
Leptosphaeria maculans 'lepidii' group;parasite;slightly acidic;2
Leptosphaeria maculans species complex;parasite;slightly acidic;2
Leptosphaeriaceae;parasite;slightly acidic;2
Letharia;lichen;unknown;out
Leveillula;parasite;unknown;out
Leveillula taurica;parasite;unknown;out
Lichenostigmatales;lichen;unknown;out
Lichtheimia;unknown;acidic to slightly alkaline;2
Lichtheimia ramosa;unknown;acidic to slightly alkaline;2
Lichtheimiaceae;unknown;acidic to slightly alkaline;2
Lindgomyces;aquatic;contaminant;out
Lindgomyces ingoldianus;aquatic;contaminant;out
Lindgomycetaceae;aquatic;contaminant;out
Linnemannia;saprotroph;slightly acidic to neutral;2
Linnemannia elongata;saprotroph;slightly acidic to neutral;2
Lobosporangium;saprotroph;unknown;out
Lobosporangium transversale;saprotroph;unknown;out
Lobulomycetaceae;unknown;unknown;out
Lobulomycetales;unknown;unknown;out
Loramyces;saprotroph;unknown;out
Loramyces macrosporus;saprotroph;unknown;out
Lyophyllaceae;unknown;unknown;out
Macroventuria;saprotroph;unknown;out
Macroventuria anomochaeta;saprotroph;unknown;out
Madurella;saprotroph;unknown;out
Madurella mycetomatis;saprotroph;unknown;out
Magnaporthaceae;parasite;unknown;out
Magnaporthales;parasite;unknown;out
Malassezia;yeast;slightly acidic;2
Malassezia furfur;yeast;slightly acidic;2
Malassezia globosa;yeast;slightly acidic;2
Malassezia restricta;yeast;slightly acidic;2
Malassezia restricta CBS 7877;yeast;slightly acidic;2
Malassezia sympodialis;yeast;slightly acidic;2
Malasseziaceae;yeast;slightly acidic;2
Malasseziales;yeast;slightly acidic;2
Malasseziomycetes;yeast;slightly acidic;2
Mallocybe;mycorrhizae;unknown;out
Martiniozyma;yeast;acidic;1
Martiniozyma abietophila;yeast;acidic;1
Massarineae;unknown;unknown;out
Meira;parasite;neutral;3
Meira miltonrushii;parasite;neutral;3
Melampsora;parasite;unknown;out
Melampsora larici-populina;parasite;unknown;out
Melampsora larici-populina 98AG31;parasite;unknown;out
Melampsoraceae;parasite;unknown;out
Melanogastraceae;unknown;unknown;out
Melanopsichium;parasite;unknown;out
Melanopsichium pennsylvanicum;parasite;unknown;out
Melanopsichium pennsylvanicum 4;parasite;unknown;out
Meruliaceae;saprotroph;unknown;out
Metapochonia;unknown;neutral;3
Metapochonia suchlasporia;unknown;neutral;3
Metarhizium;parasite;acidic;1
Metarhizium brunneum;parasite;acidic;1
Metarhizium rileyi;parasite;acidic;1
Metarhizium robertsii;parasite;acidic;1
Metarhizium robertsii ARSEF 23;parasite;acidic;1
Metschnikowia;yeast;acidic to slightly alkaline;2
Metschnikowia aff. pulcherrima;yeast;acidic to slightly alkaline;2
Metschnikowia bicuspidata;yeast;acidic to slightly alkaline;2
Metschnikowia bicuspidata var. bicuspidata;yeast;acidic to slightly alkaline;2
Metschnikowia bicuspidata var. bicuspidata NRRL YB-4993;yeast;acidic to slightly alkaline;2
Metschnikowiaceae;yeast;acidic to slightly alkaline;2
Meyerozyma;yeast;unknown;out
Meyerozyma guilliermondii;yeast;unknown;out
Meyerozyma guilliermondii ATCC 6260;yeast;unknown;out
Microascaceae;saprotroph;unknown;out
Microascales;saprotroph;unknown;out
Microbotryaceae;parasite;unknown;out
Microbotryales;parasite;unknown;out
Microbotryomycetes;unknown;unknown;out
Microbotryum;parasite;unknown;out
Microbotryum lychnidis-dioicae;parasite;unknown;out
Microdochiaceae;unknown;unknown;out
Microdochium;parasite;alkaline;5
Microscypha;unknown;unknown;out
Microsporidia;parasite;unknown;out
Microsporidia incertae sedis;parasite;unknown;out
Microsporum;contaminant;contaminant;out
Microsporum canis;contaminant;contaminant;out
Microsporum canis CBS 113480;contaminant;contaminant;out
Microstromatales;parasite;unknown;out
Microstromatales incertae sedis;parasite;unknown;out
Millerozyma;yeast;unknown;out
Millerozyma farinosa;yeast;unknown;out
Millerozyma farinosa CBS 7064;yeast;unknown;out
Mitosporidium;parasite;unknown;out
Mitosporidium daphniae;parasite;unknown;out
Mollisia;saprotroph;unknown;out
Mollisia scopiformis;saprotroph;unknown;out
Mollisiaceae;saprotroph;unknown;out
Monilinia;parasite;acidic to slightly alkaline;2
Monilinia laxa;parasite;acidic to slightly alkaline;2
Monilinia vaccinii-corymbosi;parasite;acidic to slightly alkaline;2
Monoblepharidales;unknown;unknown;out
Monoblepharidomycetes;unknown;unknown;out
Morchella;unknown;neutral;3
Morchella importuna;saprotroph;neutral;3
Morchella sect. Distantes;unknown;neutral;3
Morchellaceae;unknown;neutral;3
Mortierella;saprotroph;unknown;out
Mortierella alpina;saprotroph;unknown;out
Mortierella sp. 08CT03;saprotroph;unknown;out
Mortierellaceae;saprotroph;unknown;out
Mortierellales;saprotroph;unknown;out
Mortierellomycetes;saprotroph;unknown;out
Mortierellomycotina;saprotroph;unknown;out
Mucor;unknown;slightly acidic;2
Mucor circinelloides;unknown;slightly acidic;2
Mucoraceae;unknown;unknown;out
Mucorales;unknown;unknown;out
Mucorineae;unknown;unknown;out
Mucoromycetes;unknown;unknown;out
Mucoromycota;unknown;unknown;out
Mucoromycotina;unknown;unknown;out
Mycena;saprotroph;unknown;out
Mycena indigotica;saprotroph;unknown;out
Mycenaceae;saprotroph;unknown;out
Mycocaliciaceae;lichen;unknown;out
Mycocaliciales;unknown;unknown;out
Mycocaliciomycetidae;unknown;unknown;out
Mycocalicium;lichen;unknown;out
Mycocalicium subtile;lichen;unknown;out
Mycosphaerellaceae;parasite;unknown;out
Mycosphaerellales;parasite;unknown;out
Mytilinidiaceae;saprotroph;unknown;out
Mytilinidiales;saprotroph;unknown;out
Mytilinidion;saprotroph;unknown;out
Mytilinidion resinicola;saprotroph;unknown;out
Myxotrichaceae;saprotroph;unknown;out
Myxotrichum;saprotroph;unknown;out
Myxotrichum deflexum;saprotroph;unknown;out
Nakaseomyces;yeast;unknown;out
Nakaseomyces/Candida clade;yeast;unknown;out
Nannizzia;unknown;unknown;out
Nannizzia gypsea;unknown;unknown;out
Nannizzia gypsea CBS 118893;unknown;unknown;out
Naumovozyma;yeast;acidic;1
Naumovozyma dairenensis;yeast;acidic;1
Naumovozyma dairenensis CBS 421;yeast;acidic;1
Nectria;saprotroph;unknown;out
Nectria cinnabarina;saprotroph;unknown;out
Nectriaceae;unknown;unknown;out
Nemania;saprotroph;unknown;out
Nemania diffusa;saprotroph;unknown;out
Neobulgaria;unknown;unknown;out
Neobulgaria koningiana;unknown;unknown;out
Neohortaea;unknown;acidic;1
Neohortaea acidophila;unknown;acidic;1
Neonectria;parasite;neutral;3
Neonectria sp. 11MA06;parasite;neutral;3
Neurospora;mould;alkaline;5
Neurospora crassa;mould;alkaline;5
Neurospora tetrasperma;mould;alkaline;5
Neurospora tetrasperma FGSC 2508;mould;alkaline;5
Oedogoniomyces;unknown;unknown;out
Oedogoniomycetaceae;unknown;unknown;out
Oidiodendron;mycorrhizae;acidic;1
Oidiodendron sp.;mycorrhizae;acidic;1
Olpidiaceae;parasite;unknown;out
Olpidiales;parasite;unknown;out
Olpidiomycetes;parasite;unknown;out
Olpidiomycota;parasite;unknown;out
Olpidiomycotina;parasite;unknown;out
Olpidium;parasite;neutral;3
Olpidium brassicae;parasite;neutral;3
Omphalotaceae;unknown;unknown;out
Onygenaceae;unknown;unknown;out
Onygenales;unknown;unknown;out
Opegrapha;lichen;unknown;out
Opegrapha vulgata;lichen;unknown;out
Opegraphaceae;lichen;unknown;out
Ophiocordyceps;parasite;slightly acidic;2
Ophiocordycipitaceae;parasite;unknown;out
Ophiostoma;saprotroph;neutral to slightly alkaline;4
Ophiostomataceae;saprotroph;unknown;out
Ophiostomatales;saprotroph;unknown;out
Orbilia;unknown;unknown;out
Orbilia oligospora;parasite (nematodes);unknown;out
Orbilia oligospora ATCC 24927;parasite (nematodes);unknown;out
Orbiliaceae;unknown;unknown;out
Orbiliales;unknown;unknown;out
Orbiliomycetes;unknown;unknown;out
OSLEUM clade;lichen;unknown;out
Ostropales;lichen;unknown;out
Ostropomycetidae;lichen;unknown;out
Paecilomyces variotii;mould;unknown;out
Pansporoblastina;aquatic;aquatic;out
Paraphaeosphaeria;parasite;unknown;out
Paraphaeosphaeria sporulosa;parasite;unknown;out
Parastagonospora;parasite;unknown;out
Parastagonospora nodorum;parasite;unknown;out
Parastagonospora nodorum SN15;parasite;unknown;out
Parmeliaceae;lichen;acidic;1
Paxilineae;mycorrhizae;unknown;out
Paxillaceae;mycorrhizae;unknown;out
Paxillus;mycorrhizae;unknown;out
Peltaster;parasite;unknown;out
Peltaster fructicola;parasite;unknown;out
Peltigera;lichen;neutral to slightly alkaline;4
Peltigera dolichorrhiza;lichen;neutral to slightly alkaline;4
Peltigera malacea;lichen;neutral to slightly alkaline;4
Peltigera membranacea;lichen;neutral to slightly alkaline;4
Peltigera pacifica;lichen;neutral to slightly alkaline;4
Peltigeraceae;lichen;neutral to slightly alkaline;4
Peltigerales;lichen;neutral to slightly alkaline;4
Peltigerineae;lichen;neutral to slightly alkaline;4
Penicilliopsis;saprotroph;neutral;3
Penicilliopsis zonata;saprotroph;neutral;3
Penicilliopsis zonata CBS 506.65;saprotroph;neutral;3
Penicillium;saprotroph;neutral;3
Penicillium arizonense;saprotroph;neutral;3
Penicillium chrysogenum species complex;saprotroph;neutral;3
Penicillium digitatum;saprotroph;neutral;3
Penicillium expansum;saprotroph;neutral;3
Penicillium roqueforti;saprotroph;neutral;3
Penicillium rubens;saprotroph;neutral;3
Penicillium rubens Wisconsin 54-1255;saprotroph;neutral;3
Penicillium sclerotiorum;saprotroph;neutral;3
Pertusaria;lichen;neutral;3
Pertusaria propinqua;lichen;neutral;3
Pertusariaceae;lichen;neutral;3
Pertusariales;lichen;neutral;3
Pestalotiopsis;parasite;acidic to slightly alkaline;2
Pestalotiopsis fici;parasite;acidic to slightly alkaline;2
Pestalotiopsis fici W106-1;parasite;acidic to slightly alkaline;2
Peterozyma;yeast;unknown;out
Pezizales;unknown;unknown;out
Pezizomycetes;unknown;unknown;out
Pezizomycotina;unknown;unknown;out
Phaeoacremonium;parasite;slightly acidic;2
Phaeoacremonium minimum;parasite;slightly acidic;2
Phaeoacremonium minimum UCRPA7;parasite;slightly acidic;2
Phaeococcomycetaceae;parasite;unknown;out
Phaeococcomycetaceae sp. TRN456;parasite;unknown;out
Phaeosphaeriaceae;parasite;unknown;out
Phaffomycetaceae;yeast;unknown;out
Phallomycetidae;yeast;unknown;out
Phanerochaetaceae;unknown;unknown;out
Phanerochaete;saprotroph;acidic;1
Phanerochaete carnosa;saprotroph;acidic;1
Phanerochaete carnosa HHB-10118-sp;saprotroph;acidic;1
Phanerodontia;saprotroph;unknown;out
Phanerodontia chrysosporium;saprotroph;unknown;out
Phialocephala;mycorrhizae;acidic;1
Phialocephala fortinii species complex;mycorrhizae;acidic;1
Phialocephala sp. HDN13-357;mycorrhizae;acidic;1
Phialocephala sp. SA-2014;mycorrhizae;acidic;1
Phialocephala subalpina;mycorrhizae;acidic;1
Phialophora;parasite;alkaline;5
Phialophora attinorum;parasite;alkaline;5
Phialophora cinerescens;parasite;alkaline;5
Phialophora sp. AK47/92;parasite;alkaline;5
Phialophora verrucosa;parasite;alkaline;5
Phlebia;saprotroph;unknown;out
Phlebia radiata;saprotroph;unknown;out
Pholiota;saprotroph;slightly acidic;2
Pholiota aurivella;saprotroph;slightly acidic;2
Phyllopsora;lichen;unknown;out
Phyllopsora corallina;lichen;unknown;out
Physalacriaceae;unknown;unknown;out
Physciaceae;lichen;unknown;out
Pichia;yeast;alkaline;5
Pichia membranifaciens;yeast;alkaline;5
Pichia membranifaciens NRRL Y-2026;yeast;alkaline;5
Pichiaceae;yeast;alkaline;5
Pithomyces;saprotroph;acidic;1
Pithomyces chartarum;saprotroph;acidic;1
Plectosphaerellaceae;unknown;unknown;out
Pleistophoridae;unknown;unknown;out
Pleosporaceae;unknown;unknown;out
Pleosporales;unknown;unknown;out
Pleosporales incertae sedis;unknown;unknown;out
Pleosporineae;unknown;unknown;out
Pleosporomycetidae;unknown;unknown;out
Pleuroascaceae;unknown;unknown;out
Pleurotaceae;saprotroph;unknown;out
Pleurotus;saprotroph;unknown;out
Pleurotus ostreatus;saprotroph;unknown;out
Ploettnerulaceae;unknown;unknown;out
Pneumocystidaceae;parasite (mammals);unknown;out
Pneumocystidales;parasite (mammals);unknown;out
Pneumocystidomycetes;parasite (mammals);unknown;out
Pneumocystis;parasite (mammals);unknown;out
Pneumocystis carinii;parasite (mammals);unknown;out
Pneumocystis carinii B80;parasite (mammals);unknown;out
Pochonia;parasite (nematodes);unknown;out
Pochonia chlamydosporia;parasite (nematodes);unknown;out
Pochonia chlamydosporia 170;parasite (nematodes);unknown;out
Podila;saprotroph;unknown;out
Podila verticillata;saprotroph;unknown;out
Podospora;mould;unknown;out
Podospora anserina;mould;unknown;out
Podospora anserina S mat+;mould;unknown;out
Polychytriales;unknown;unknown;out
Polychytriales incertae sedis;unknown;unknown;out
Polychytrium;unknown;acidic?;1
Polyporaceae;saprotroph;unknown;out
Polyporales;saprotroph;unknown;out
Postia;saprotroph;neutral;3
Postia placenta;saprotroph;neutral;3
Postia placenta MAD-698-R-SB12;saprotroph;neutral;3
Preussia;saprotroph;unknown;out
Preussia octomera;saprotroph;unknown;out
Preussia/Sporomiella species complex;saprotroph;unknown;out
Psathyrellaceae;unknown;unknown;out
Pseudeurotiaceae;unknown;unknown;out
Pseudevernia;lichen;acidic;1
Pseudevernia consocians;lichen;acidic;1
Pseudocercospora;parasite;alkaline;5
Pseudocercospora fijiensis;parasite;alkaline;5
Pseudocercospora fijiensis CIRAD86;parasite;alkaline;5
Pseudocercospora mori;parasite;alkaline;5
Pseudogymnoascus;saprotroph;slightly alkaline;4
Pseudogymnoascus destructans;saprotroph;slightly alkaline;4
Pseudogymnoascus pannorum;saprotroph;slightly alkaline;4
Pseudogymnoascus roseus;saprotroph;slightly alkaline;4
Pseudogymnoascus sp. 23342-1-I1;saprotroph;slightly alkaline;4
Pseudogymnoascus sp. FI609;saprotroph;slightly alkaline;4
Pseudogymnoascus verrucosus;saprotroph;slightly alkaline;4
Pseudomicrostroma;yeast;unknown;out
Pseudomicrostroma glucosiphilum;yeast;unknown;out
Pseudovirgaria;parasite;unknown;out
Pseudovirgaria hyperparasitica;parasite;unknown;out
Pseudozyma;parasite;unknown;out
Pseudozyma flocculosa;parasite;unknown;out
Pseudozyma flocculosa PF-1;parasite;unknown;out
Pseudozyma hubeiensis;parasite;unknown;out
Pseudozyma hubeiensis SY62;parasite;unknown;out
Psoroglaena;lichen;unknown;out
Psoroglaena abscondita;lichen;unknown;out
Puccinia;parasite;unknown;out
Puccinia graminis;parasite;unknown;out
Puccinia graminis f. sp. tritici;parasite;unknown;out
Puccinia graminis f. sp. tritici CRL 75-36-700-3;parasite;unknown;out
Puccinia triticina;parasite;unknown;out
Pucciniaceae;parasite;unknown;out
Pucciniales;parasite;unknown;out
Pucciniomycetes;unknown;unknown;out
Pucciniomycotina;unknown;unknown;out
Punctularia;saprotroph;slightly acidic;2
Punctularia strigosozonata;saprotroph;slightly acidic;2
Punctularia strigosozonata HHB-11173 SS5;saprotroph;slightly acidic;2
Punctulariaceae;saprotroph;unknown;out
Purpureocillium;saprotroph;unknown;out
Purpureocillium lilacinum;saprotroph;unknown;out
Pyrenopeziza;saprotroph;slightly alkaline;4
Pyrenopeziza brassicae;saprotroph;slightly alkaline;4
Pyrenopeziza sp.;saprotroph;slightly alkaline;4
Pyrenophora;parasite;unknown;out
Pyrenophora teres;parasite;unknown;out
Pyrenophora teres f. maculata;parasite;unknown;out
Pyrenophora teres f. teres;parasite;unknown;out
Pyrenophora tritici-repentis;parasite;unknown;out
Pyrenophora tritici-repentis Pt-1C-BFP;parasite;unknown;out
Pyricularia;parasite;neutral;3
Pyricularia grisea;parasite;neutral;3
Pyricularia oryzae;parasite;neutral;3
Pyriculariaceae;unknown;unknown;out
Pyronema;saprotroph;unknown;out
Pyronema omphalodes;saprotroph;unknown;out
Pyronemataceae;saprotroph;unknown;out
Ramalinaceae;lichen;unknown;out
Ramularia;parasite;unknown;out
Ramularia collo-cygni;parasite;unknown;out
Rasamsonia;parasite;neutral;3
Rasamsonia emersonii;parasite;neutral;3
Rasamsonia emersonii CBS 393.64;parasite;neutral;3
Rhinocladiella;parasite;alkaline;5
Rhinocladiella mackenziei;parasite;alkaline;5
Rhinocladiella mackenziei CBS 650.93;parasite;alkaline;5
Rhizoctonia;parasite;acidic to neutral;2
Rhizoctonia solani;parasite;acidic to neutral;2
Rhizophagus;mycorrhizae;slightly acidic;2
Rhizophagus intraradices;mycorrhizae;slightly acidic;2
Rhizophagus irregularis;mycorrhizae;slightly acidic;2
Rhizophagus irregularis DAOM 181602=DAOM 197198;mycorrhizae;slightly acidic;2
Rhizophagus sp. DAOM 213198;mycorrhizae;slightly acidic;2
Rhizophydiaceae;saprotroph;unknown;out
Rhizophydiales;unknown;unknown;out
Rhizophydiales incertae sedis;unknown;unknown;out
Rhizophydium;saprotroph;acidic;1
Rhizophydium sp. JEL316;saprotroph;acidic;1
Rhizopodaceae;saprotroph;unknown;out
Rhizopogon;mycorrhizae;unknown;out
Rhizopogonaceae;mycorrhizae;unknown;out
Rhizopus;mould;neutral;3
Rhizopus microsporus;mould;neutral;3
Rhizopus microsporus ATCC 52813;mould;neutral;3
Rhodotorula;yeast;slightly acidic to slightly alkaline;3
Rhodotorula graminis;yeast;slightly acidic to slightly alkaline;3
Rhodotorula graminis WP1;yeast;slightly acidic to slightly alkaline;3
Rhodotorula toruloides;yeast;slightly acidic to slightly alkaline;3
Rhynchobrunnera;unknown;unknown;out
Rhynchobrunnera orthospora;unknown;unknown;out
Rhynchosporium;parasite;unknown;out
Rhynchosporium commune;parasite;unknown;out
Rhynchosporium secalis;parasite;unknown;out
Rhytismataceae;parasite;unknown;out
Rhytismatales;parasite;unknown;out
Rhytismatales sp.;parasite;unknown;out
Russula;mycorrhizae;acidic to neutral;2
Russulaceae;mycorrhizae;acidic to neutral;2
Russulales;mycorrhizae;unknown;out
Rutstroemiaceae;saprotroph;unknown;out
Sabuloglossum;unknown;unknown;out
Sabuloglossum arenarium;unknown;unknown;out
Saccharomyces;yeast;acidic to neutral;2
Saccharomyces cerevisiae;yeast;acidic to neutral;2
Saccharomyces eubayanus;yeast;acidic to neutral;2
Saccharomyces jurei;yeast;acidic to neutral;2
saccharomyceta;yeast;acidic to neutral;2
Saccharomycetaceae;yeast;acidic to neutral;2
Saccharomycetales;yeast;acidic to neutral;2
Saccharomycetales incertae sedis;yeast;acidic to neutral;2
Saccharomycetes;yeast;acidic to neutral;2
Saccharomycodaceae;yeast;acidic to neutral;2
Saccharomycopsidaceae;yeast;acidic to neutral;2
Saccharomycopsis;yeast;acidic to neutral;2
Saccharomycopsis fibuligera;yeast;acidic to neutral;2
Saccharomycopsis malanga;yeast;acidic to neutral;2
Saccharomycotina;yeast;acidic to neutral;2
Saccotheciaceae;unknown;unknown;out
Saitoella;yeast;neutral;3
Saitoella complicata;yeast;neutral;3
Saitoella complicata NRRL Y-17804;yeast;neutral;3
Saprochaete;parasite;acidic;1
Saprochaete ingens;parasite;acidic;1
Scedosporium;parasite;unknown;out
Scedosporium apiospermum;parasite;unknown;out
Scheffersomyces;yeast;unknown;out
Scheffersomyces stipitis;yeast;unknown;out
Scheffersomyces stipitis CBS 6054;yeast;unknown;out
Schizophyllaceae;unknown;unknown;out
Schizophyllum;unknown;slightly acidic;2
Schizophyllum commune;unknown;slightly acidic;2
Schizophyllum commune H4-8;unknown;slightly acidic;2
Schizosaccharomyces;saprotroph;acidic;1
Schizosaccharomyces japonicus;saprotroph;acidic;1
Schizosaccharomyces japonicus yFS275;saprotroph;acidic;1
Schizosaccharomyces pombe;saprotroph;acidic;1
Schizosaccharomycetaceae;saprotroph;acidic;1
Schizosaccharomycetales;saprotroph;acidic;1
Schizosaccharomycetes;saprotroph;acidic;1
Sclerotinia;parasite;acidic;1
Sclerotinia borealis;parasite;acidic;1
Sclerotinia sclerotiorum;parasite;acidic;1
Sclerotinia sclerotiorum 1980 UF-70;parasite;acidic;1
Sclerotiniaceae;unknown;acidic;1
Scytalidium;parasite;acidic;1
Scytalidium sp.;parasite;acidic;1
Sebacinales;symbiotic;unknown;out
Serendipita;symbiotic;endophyt;out
Serendipita indica;symbiotic;endophyt;out
Serendipita indica DSM 11827;symbiotic;endophyt;out
Serendipitaceae;symbiotic;endophyt;out
Shiraia;contaminant;contaminant;out
Shiraia bambusicola;contaminant;contaminant;out
Shiraiaceae;contaminant;contaminant;out
Sodiomyces;unknown;alkaline;5
Sodiomyces alkalinus;unknown;alkaline;5
Sodiomyces alkalinus F11;unknown;alkaline;5
Sordaria;saprotroph;neutral to mildly alkaline;4
Sordaria macrospora;saprotroph;neutral to mildly alkaline;4
Sordaria macrospora k-hell;saprotroph;neutral to mildly alkaline;4
Sordariaceae;saprotroph;neutral to mildly alkaline;4
Sordariales;saprotroph;neutral to mildly alkaline;4
Sordariales incertae sedis;saprotroph;neutral to mildly alkaline;4
sordariomyceta;unknown;neutral to mildly alkaline;4
Sordariomycetes;unknown;neutral to mildly alkaline;4
Sordariomycetidae;unknown;neutral to mildly alkaline;4
Sparassidaceae;unknown;unknown;out
Sparassis;unknown;slightly acidic to neutral;2
Sparassis crispa;parasite;slightly acidic to neutral;2
Speerschneidera;lichen;unknown;out
Speerschneidera euploca;lichen;unknown;out
Sporidiobolaceae;yeast;unknown;out
Sporidiobolales;yeast;unknown;out
Sporisorium;parasite;acidic;1
Sporisorium graminicola;parasite;acidic;1
Sporisorium reilianum;parasite;acidic;1
Sporisorium reilianum f. sp. reilianum;parasite;acidic;1
Sporisorium reilianum SRZ2;parasite;acidic;1
Sporocadaceae;unknown;unknown;out
Sporormiaceae;unknown;unknown;out
Sporothrix;saprotroph;acidic to slightly alkaline;2
Sporothrix schenckii;saprotroph;acidic to slightly alkaline;2
Sporothrix schenckii 1099-18;saprotroph;acidic to slightly alkaline;2
Stagonosporopsis;parasite;unknown;out
Stagonosporopsis rhizophila;parasite;unknown;out
Staurothele;lichen;alkaline;5
Staurothele areolata;lichen;alkaline;5
Staurothele fissa;lichen;alkaline;5
Stemphylium;parasite;acidic to slightly alkaline;2
Stemphylium lycopersici;parasite;acidic to slightly alkaline;2
Stereaceae;saprotroph;unknown;out
Stereocaulaceae;lichen;alkaline;5
Stereocaulon;lichen;alkaline;5
Stereum;saprotroph;unknown;out
Stereum hirsutum;saprotroph;unknown;out
Stereum hirsutum FP-91666 SS1;saprotroph;unknown;out
Stropharia;contaminant;contaminant;out
Stropharia rugosoannulata;contaminant;contaminant;out
Strophariaceae;contaminant;contaminant;out
Sugiyamaella;yeast;acidic;1
Sugiyamaella lignohabitans;yeast;acidic;1
Suillaceae;mycorrhizae;acidic;1
Suillineae;mycorrhizae;acidic;1
Suillus;mycorrhizae;acidic;1
Sydowia;parasite;unknown;out
Sydowia polyspora;parasite;unknown;out
Sympoventuriaceae;saprotroph;unknown;out
Talaromyces;mould;acidic;1
Talaromyces funiculosus;mould;acidic;1
Talaromyces pinophilus;mould;acidic;1
Talaromyces rugulosus;mould;acidic;1
Talaromyces sect. Islandici;mould;acidic;1
Talaromyces sect. Talaromyces;mould;acidic;1
Talaromyces stipitatus;mould;acidic;1
Talaromyces stipitatus ATCC 10500;mould;acidic;1
Taphrina;parasite;slightly acidic to neutral;2
Taphrinaceae;parasite;unknown;out
Taphrinales;parasite;unknown;out
Taphrinomycetes;parasite;unknown;out
Taphrinomycotina;unknown;unknown;out
Taphrinomycotina incertae sedis;unknown;unknown;out
Teratosphaeriaceae;unknown;unknown;out
Termitomyces;symbiotic;acidic to slightly alkaline;2
Termitomyces sp.;symbiotic;acidic to slightly alkaline;2
Tetracladium;saprotroph;unknown;out
Tetrapisispora;yeast;acidic?;1
Tetrapisispora blattae;yeast;acidic?;1
Tetrapisispora blattae CBS 6284;yeast;acidic?;1
Thamnolia;lichen;acidic;1
Thamnolia vermicularis;lichen;acidic;1
Thelebolaceae;unknown;unknown;out
Thelebolales;unknown;unknown;out
Thelephora;mycorrhizae;acidic;1
Thelephora aurantiotincta;mycorrhizae;acidic;1
Thelephora ganbajun;mycorrhizae;acidic;1
Thelephoraceae;mycorrhizae;acidic;1
Thelephorales;mycorrhizae;acidic;1
Thermoascaceae;unknown;unknown;out
Thermochaetoides thermophila;unknown;unknown;out
Thermochaetoides thermophila DSM 1495;unknown;unknown;out
Thermothelomyces;parasite;neutral to mildly alkaline;4
Thermothelomyces thermophilus;parasite;neutral to mildly alkaline;4
Thermothelomyces thermophilus ATCC 42464;parasite;neutral to mildly alkaline;4
Thermothielavioides;unknown;acidic;1
Thermothielavioides terrestris;unknown;acidic;1
Thermothielavioides terrestris NRRL 8126;unknown;acidic;1
Thyridium curvatum;unknown;unknown;out
Tilletiaria;parasite;unknown;out
Tilletiaria anomala;parasite;unknown;out
Tilletiaria anomala UBC 951;parasite;unknown;out
Tilletiariaceae;parasite;unknown;out
Tilletiopsis;saprotroph;acidic to mildly alkaline?;2
Tilletiopsis washingtonensis;saprotroph;acidic to mildly alkaline?;2
Togniniaceae;parasite;unknown;out
Togniniales;unknown;unknown;out
Trametes;saprotroph;acidic;1
Trametes coccinea;saprotroph;acidic;1
Trametes hirsuta;saprotroph;acidic;1
Trametes versicolor;saprotroph;acidic;1
Trametes versicolor FP-101664 SS1;saprotroph;acidic;1
Trematosphaeria;parasite;alkaline?;5
Trematosphaeria pertusa;parasite;alkaline?;5
Trematosphaeriaceae;parasite;alkaline?;5
Tremella;parasite;unknown;out
Tremella mesenterica;parasite;unknown;out
Tremella mesenterica DSM 1558;parasite;unknown;out
Tremellaceae;parasite;unknown;out
Tremellales;yeast;unknown;out
Tremellomycetes;yeast;unknown;out
Trichocomaceae;saprotroph;unknown;out
Trichoderma;saprotroph;acidic;1
Trichoderma asperellum;saprotroph;acidic;1
Trichoderma atroviride;saprotroph;acidic;1
Trichoderma citrinoviride;saprotroph;acidic;1
Trichoderma gamsii;saprotroph;acidic;1
Trichoderma harzianum;saprotroph;acidic;1
Trichoderma harzianum CBS 226.95;saprotroph;acidic;1
Tricholoma;mycorrhizae;slightly acidic;2
Tricholomataceae;mycorrhizae;unknown;out
Trichomeriaceae;mould;unknown;out
Trichomonascaceae;yeast;unknown;out
Trichophaea;saprotroph;acidic to slightly alkaline;2
Trichophaea dougoudii;saprotroph;acidic to slightly alkaline;2
Trichosporon;yeast;neutral;3
Trichosporon asahii;yeast;neutral;3
Trichosporon asahii var. asahii;yeast;neutral;3
Trichosporon asahii var. asahii CBS 2479;yeast;neutral;3
Trichosporonaceae;yeast;unknown;out
Trichosporonales;yeast;unknown;out
Tuber;mycorrhizae;neutral to mildly alkaline;4
Tuber calosporum;mycorrhizae;neutral to mildly alkaline;4
Tuber melanosporum;mycorrhizae;neutral to mildly alkaline;4
Tuber melanosporum Mel28;mycorrhizae;neutral to mildly alkaline;4
