taxID,superkingdom,kingdom,subkingdom,superphylum,phylum,subphylum,infraphylum,superclass,class,subclass,infraclass,cohort,subcohort,superorder,order,suborder,infraorder,parvorder,superfamily,family,subfamily,tribe,subtribe,genus,subgenus,section,subsection,series,subseries,species_group,species_subgroup,species,forma_specialis,subspecies,varietas,subvariety,forma,serogroup,serotype,strain,isolate
96792,Eukaryota,Kin_Sar,sbKin_Stramenopiles,spPhy_Ochrophyta,Phy_of_Chrysophyceae,sbPhy_of_Chrysophyceae,inPhy_of_Chrysophyceae,spCla_of_Chrysophyceae,Chrysophyceae,sbCla_of_Chromulinales,inCla_of_Chromulinales,Coh_of_Chromulinales,sbCoh_of_Chromulinales,spOrd_of_Chromulinales,Chromulinales,sbOrd_in_Chromulinales,inOrd_in_Chromulinales,prOrd_in_Chromulinales,spFam_in_Chromulinales,Fam_in_Chromulinales,sbFam_in_Chromulinales,Tri_in_Chromulinales,sbTri_in_Chromulinales,Gen_in_Chromulinales,sbGen_in_Chromulinales,Sec_in_Chromulinales,sbSec_in_Chromulinales,Ser_in_Chromulinales,sbSer_in_Chromulinales,Sgr_in_Chromulinales,sbSgr_in_Chromulinales,Spe_in_Chromulinales,Fsp_in_Chromulinales,sbSpe_in_Chromulinales,Var_in_Chromulinales,sbVar_in_Chromulinales,For_in_Chromulinales,Srg_in_Chromulinales,Srt_in_Chromulinales,Str_in_Chromulinales,Iso_in_Chromulinales
227873,Bacteria,Kin_of_Pseudomonadota,sbKin_of_Pseudomonadota,spPhy_of_Pseudomonadota,Pseudomonadota,sbPhy_of_Alphaproteobacteria,inPhy_of_Alphaproteobacteria,spCla_of_Alphaproteobacteria,Alphaproteobacteria,sbCla_of_Hyphomicrobiales,inCla_of_Hyphomicrobiales,Coh_of_Hyphomicrobiales,sbCoh_of_Hyphomicrobiales,spOrd_of_Hyphomicrobiales,Hyphomicrobiales,sbOrd_of_Stappiaceae,inOrd_of_Stappiaceae,prOrd_of_Stappiaceae,spFam_of_Stappiaceae,Stappiaceae,sbFam_of_Pannonibacter,Tri_of_Pannonibacter,sbTri_of_Pannonibacter,Pannonibacter,sbGen_in_Pannonibacter,Sec_in_Pannonibacter,sbSec_in_Pannonibacter,Ser_in_Pannonibacter,sbSer_in_Pannonibacter,Sgr_in_Pannonibacter,sbSgr_in_Pannonibacter,Spe_in_Pannonibacter,Fsp_in_Pannonibacter,sbSpe_in_Pannonibacter,Var_in_Pannonibacter,sbVar_in_Pannonibacter,For_in_Pannonibacter,Srg_in_Pannonibacter,Srt_in_Pannonibacter,Str_in_Pannonibacter,Iso_in_Pannonibacter
1047171,Eukaryota,Fungi,Dikarya,spPhy_of_Ascomycota,Ascomycota,Pezizomycotina,inPhy_of_leotiomyceta,spCla_leotiomyceta,Dothideomycetes,Dothideomycetidae,inCla_of_Mycosphaerellales,Coh_of_Mycosphaerellales,sbCoh_of_Mycosphaerellales,spOrd_of_Mycosphaerellales,Mycosphaerellales,sbOrd_of_Mycosphaerellaceae,inOrd_of_Mycosphaerellaceae,prOrd_of_Mycosphaerellaceae,spFam_of_Mycosphaerellaceae,Mycosphaerellaceae,sbFam_of_Zymoseptoria,Tri_of_Zymoseptoria,sbTri_of_Zymoseptoria,Zymoseptoria,sbGen_of_Zymoseptoria tritici,Sec_of_Zymoseptoria tritici,sbSec_of_Zymoseptoria tritici,Ser_of_Zymoseptoria tritici,sbSer_of_Zymoseptoria tritici,Sgr_of_Zymoseptoria tritici,sbSgr_of_Zymoseptoria tritici,Zymoseptoria tritici,Fsp_in_Zymoseptoria tritici,sbSpe_in_Zymoseptoria tritici,Var_in_Zymoseptoria tritici,sbVar_in_Zymoseptoria tritici,For_in_Zymoseptoria tritici,Srg_in_Zymoseptoria tritici,Srt_in_Zymoseptoria tritici,Str_in_Zymoseptoria tritici,Iso_in_Zymoseptoria tritici
2488809,Bacteria,Kin_PVC group,sbKin_of_Verrucomicrobia,spPhy_of_Verrucomicrobia,Verrucomicrobia,sbPhy_of_unclassified Verrucomicrobia,inPhy_of_unclassified Verrucomicrobia,spCla_of_unclassified Verrucomicrobia,Cla_of_unclassified Verrucomicrobia,sbCla_of_unclassified Verrucomicrobia,inCla_of_unclassified Verrucomicrobia,Coh_of_unclassified Verrucomicrobia,sbCoh_of_unclassified Verrucomicrobia,spOrd_of_unclassified Verrucomicrobia,Ord_of_unclassified Verrucomicrobia,sbOrd_of_unclassified Verrucomicrobia,inOrd_of_unclassified Verrucomicrobia,prOrd_of_unclassified Verrucomicrobia,spFam_of_unclassified Verrucomicrobia,Fam_of_unclassified Verrucomicrobia,sbFam_of_unclassified Verrucomicrobia,Tri_of_unclassified Verrucomicrobia,sbTri_of_unclassified Verrucomicrobia,Gen_unclassified Verrucomicrobia,sbGen_of_Verrucomicrobia bacterium S94,Sec_of_Verrucomicrobia bacterium S94,sbSec_of_Verrucomicrobia bacterium S94,Ser_of_Verrucomicrobia bacterium S94,sbSer_of_Verrucomicrobia bacterium S94,Sgr_of_Verrucomicrobia bacterium S94,sbSgr_of_Verrucomicrobia bacterium S94,Verrucomicrobia bacterium S94,Fsp_in_Verrucomicrobia bacterium S94,sbSpe_in_Verrucomicrobia bacterium S94,Var_in_Verrucomicrobia bacterium S94,sbVar_in_Verrucomicrobia bacterium S94,For_in_Verrucomicrobia bacterium S94,Srg_in_Verrucomicrobia bacterium S94,Srt_in_Verrucomicrobia bacterium S94,Str_in_Verrucomicrobia bacterium S94,Iso_in_Verrucomicrobia bacterium S94
129577,Bacteria,Kin_of_Pseudomonadota,sbKin_of_Pseudomonadota,spPhy_of_Pseudomonadota,Pseudomonadota,sbPhy_of_Gammaproteobacteria,inPhy_of_Gammaproteobacteria,spCla_of_Gammaproteobacteria,Gammaproteobacteria,sbCla_of_Aeromonadales,inCla_of_Aeromonadales,Coh_of_Aeromonadales,sbCoh_of_Aeromonadales,spOrd_of_Aeromonadales,Aeromonadales,sbOrd_of_Aeromonadaceae,inOrd_of_Aeromonadaceae,prOrd_of_Aeromonadaceae,spFam_of_Aeromonadaceae,Aeromonadaceae,sbFam_of_Oceanimonas,Tri_of_Oceanimonas,sbTri_of_Oceanimonas,Oceanimonas,sbGen_in_Oceanimonas,Sec_in_Oceanimonas,sbSec_in_Oceanimonas,Ser_in_Oceanimonas,sbSer_in_Oceanimonas,Sgr_in_Oceanimonas,sbSgr_in_Oceanimonas,Spe_in_Oceanimonas,Fsp_in_Oceanimonas,sbSpe_in_Oceanimonas,Var_in_Oceanimonas,sbVar_in_Oceanimonas,For_in_Oceanimonas,Srg_in_Oceanimonas,Srt_in_Oceanimonas,Str_in_Oceanimonas,Iso_in_Oceanimonas
31299,Eukaryota,Viridiplantae,sbKin_of_Chlorophyta,spPhy_of_Chlorophyta,Chlorophyta,sbPhy_core chlorophytes,inPhy_of_Chlorophyceae,spCla_of_Chlorophyceae,Chlorophyceae,sbCla_OCC clade,inCla_of_Chaetophorales,Coh_of_Chaetophorales,sbCoh_of_Chaetophorales,spOrd_of_Chaetophorales,Chaetophorales,sbOrd_in_Chaetophorales,inOrd_in_Chaetophorales,prOrd_in_Chaetophorales,spFam_in_Chaetophorales,Fam_in_Chaetophorales,sbFam_in_Chaetophorales,Tri_in_Chaetophorales,sbTri_in_Chaetophorales,Gen_in_Chaetophorales,sbGen_in_Chaetophorales,Sec_in_Chaetophorales,sbSec_in_Chaetophorales,Ser_in_Chaetophorales,sbSer_in_Chaetophorales,Sgr_in_Chaetophorales,sbSgr_in_Chaetophorales,Spe_in_Chaetophorales,Fsp_in_Chaetophorales,sbSpe_in_Chaetophorales,Var_in_Chaetophorales,sbVar_in_Chaetophorales,For_in_Chaetophorales,Srg_in_Chaetophorales,Srt_in_Chaetophorales,Str_in_Chaetophorales,Iso_in_Chaetophorales
31244,Eukaryota,Metazoa,sbKin_Eumetazoa,spPhy_Spiralia,Platyhelminthes,sbPhy_of_Trematoda,inPhy_of_Trematoda,spCla_of_Trematoda,Trematoda,Digenea,inCla_of_Strigeidida,Coh_of_Strigeidida,sbCoh_of_Strigeidida,spOrd_of_Strigeidida,Strigeidida,sbOrd_of_Schistosomatoidea,inOrd_of_Schistosomatoidea,prOrd_of_Schistosomatoidea,Schistosomatoidea,Fam_in_Schistosomatoidea,sbFam_in_Schistosomatoidea,Tri_in_Schistosomatoidea,sbTri_in_Schistosomatoidea,Gen_in_Schistosomatoidea,sbGen_in_Schistosomatoidea,Sec_in_Schistosomatoidea,sbSec_in_Schistosomatoidea,Ser_in_Schistosomatoidea,sbSer_in_Schistosomatoidea,Sgr_in_Schistosomatoidea,sbSgr_in_Schistosomatoidea,Spe_in_Schistosomatoidea,Fsp_in_Schistosomatoidea,sbSpe_in_Schistosomatoidea,Var_in_Schistosomatoidea,sbVar_in_Schistosomatoidea,For_in_Schistosomatoidea,Srg_in_Schistosomatoidea,Srt_in_Schistosomatoidea,Str_in_Schistosomatoidea,Iso_in_Schistosomatoidea
2259622,Bacteria,Kin_of_Pseudomonadota,sbKin_of_Pseudomonadota,spPhy_of_Pseudomonadota,Pseudomonadota,sbPhy_of_Gammaproteobacteria,inPhy_of_Gammaproteobacteria,spCla_of_Gammaproteobacteria,Gammaproteobacteria,sbCla_of_Xanthomonadales,inCla_of_Xanthomonadales,Coh_of_Xanthomonadales,sbCoh_of_Xanthomonadales,spOrd_of_Xanthomonadales,Xanthomonadales,sbOrd_of_Xanthomonadaceae,inOrd_of_Xanthomonadaceae,prOrd_of_Xanthomonadaceae,spFam_of_Xanthomonadaceae,Xanthomonadaceae,sbFam_of_Xanthomonas,Tri_of_Xanthomonas,sbTri_of_Xanthomonas,Xanthomonas,sbGen_of_Xanthomonas euroxanthea,Sec_of_Xanthomonas euroxanthea,sbSec_of_Xanthomonas euroxanthea,Ser_of_Xanthomonas euroxanthea,sbSer_of_Xanthomonas euroxanthea,Sgr_of_Xanthomonas euroxanthea,sbSgr_of_Xanthomonas euroxanthea,Xanthomonas euroxanthea,Fsp_in_Xanthomonas euroxanthea,sbSpe_in_Xanthomonas euroxanthea,Var_in_Xanthomonas euroxanthea,sbVar_in_Xanthomonas euroxanthea,For_in_Xanthomonas euroxanthea,Srg_in_Xanthomonas euroxanthea,Srt_in_Xanthomonas euroxanthea,Str_in_Xanthomonas euroxanthea,Iso_in_Xanthomonas euroxanthea
64093,Eukaryota,Viridiplantae,sbKin_of_Streptophyta,spPhy_of_Streptophyta,Streptophyta,Streptophytina,inPhy_of_Embryophyta,spCla_Embryophyta,Magnoliopsida,sbCla_eudicotyledons,inCla_Gunneridae,Coh_Pentapetalae,sbCoh_of_asterids,spOrd_asterids,Lamiales,sbOrd_of_Orobanchaceae,inOrd_of_Orobanchaceae,prOrd_of_Orobanchaceae,spFam_of_Orobanchaceae,Orobanchaceae,sbFam_of_Pedicularideae,Pedicularideae,Castillejinae,Triphysaria,sbGen_of_Triphysaria versicolor,Sec_of_Triphysaria versicolor,sbSec_of_Triphysaria versicolor,Ser_of_Triphysaria versicolor,sbSer_of_Triphysaria versicolor,Sgr_of_Triphysaria versicolor,sbSgr_of_Triphysaria versicolor,Triphysaria versicolor,Fsp_in_Triphysaria versicolor,sbSpe_in_Triphysaria versicolor,Var_in_Triphysaria versicolor,sbVar_in_Triphysaria versicolor,For_in_Triphysaria versicolor,Srg_in_Triphysaria versicolor,Srt_in_Triphysaria versicolor,Str_in_Triphysaria versicolor,Iso_in_Triphysaria versicolor
31234,Eukaryota,Metazoa,sbKin_Eumetazoa,spPhy_of_Nematoda,Nematoda,sbPhy_of_Chromadorea,inPhy_of_Chromadorea,spCla_of_Chromadorea,Chromadorea,sbCla_of_Rhabditida,inCla_of_Rhabditida,Coh_of_Rhabditida,sbCoh_of_Rhabditida,spOrd_of_Rhabditida,Rhabditida,Rhabditina,Rhabditomorpha,prOrd_of_Rhabditoidea,Rhabditoidea,Rhabditidae,Peloderinae,Tri_of_Caenorhabditis,sbTri_of_Caenorhabditis,Caenorhabditis,sbGen_of_Caenorhabditis remanei,Sec_of_Caenorhabditis remanei,sbSec_of_Caenorhabditis remanei,Ser_of_Caenorhabditis remanei,sbSer_of_Caenorhabditis remanei,Sgr_of_Caenorhabditis remanei,sbSgr_of_Caenorhabditis remanei,Caenorhabditis remanei,Fsp_in_Caenorhabditis remanei,sbSpe_in_Caenorhabditis remanei,Var_in_Caenorhabditis remanei,sbVar_in_Caenorhabditis remanei,For_in_Caenorhabditis remanei,Srg_in_Caenorhabditis remanei,Srt_in_Caenorhabditis remanei,Str_in_Caenorhabditis remanei,Iso_in_Caenorhabditis remanei
