taxID,superkingdom,kingdom,subkingdom,superphylum,phylum,subphylum,infraphylum,superclass,class,subclass,infraclass,cohort,subcohort,superorder,order,suborder,infraorder,parvorder,superfamily,family,subfamily,tribe,subtribe,genus,subgenus,section,subsection,series,subseries,species_group,species_subgroup,species,forma_specialis,subspecies,varietas,subvariety,forma,serogroup,serotype,strain,isolate
36813,Bacteria,Kin_Terrabacteria group,sbKin_of_Actinomycetota,spPhy_of_Actinomycetota,Actinomycetota,sbPhy_of_Actinomycetes,inPhy_of_Actinomycetes,spCla_of_Actinomycetes,Actinomycetes,sbCla_of_Corynebacteriales,inCla_of_Corynebacteriales,Coh_of_Corynebacteriales,sbCoh_of_Corynebacteriales,spOrd_of_Corynebacteriales,Corynebacteriales,sbOrd_of_Mycobacteriaceae,inOrd_of_Mycobacteriaceae,prOrd_of_Mycobacteriaceae,spFam_of_Mycobacteriaceae,Mycobacteriaceae,sbFam_of_Mycolicibacterium,Tri_of_Mycolicibacterium,sbTri_of_Mycolicibacterium,Mycolicibacterium,sbGen_of_Mycolicibacterium pulveris,Sec_of_Mycolicibacterium pulveris,sbSec_of_Mycolicibacterium pulveris,Ser_of_Mycolicibacterium pulveris,sbSer_of_Mycolicibacterium pulveris,Sgr_of_Mycolicibacterium pulveris,sbSgr_of_Mycolicibacterium pulveris,Mycolicibacterium pulveris,Fsp_in_Mycolicibacterium pulveris,sbSpe_in_Mycolicibacterium pulveris,Var_in_Mycolicibacterium pulveris,sbVar_in_Mycolicibacterium pulveris,For_in_Mycolicibacterium pulveris,Srg_in_Mycolicibacterium pulveris,Srt_in_Mycolicibacterium pulveris,Str_in_Mycolicibacterium pulveris,Iso_in_Mycolicibacterium pulveris
2494375,Bacteria,Kin_FCB group,sbKin_Bacteroidetes/Chlorobi group,spPhy_of_Bacteroidota,Bacteroidota,sbPhy_of_Flavobacteriia,inPhy_of_Flavobacteriia,spCla_of_Flavobacteriia,Flavobacteriia,sbCla_of_Flavobacteriales,inCla_of_Flavobacteriales,Coh_of_Flavobacteriales,sbCoh_of_Flavobacteriales,spOrd_of_Flavobacteriales,Flavobacteriales,sbOrd_of_Flavobacteriaceae,inOrd_of_Flavobacteriaceae,prOrd_of_Flavobacteriaceae,spFam_of_Flavobacteriaceae,Flavobacteriaceae,sbFam_of_Aequorivita,Tri_of_Aequorivita,sbTri_of_Aequorivita,Aequorivita,sbGen_unclassified Aequorivita,Sec_of_Aequorivita sp. H23M31,sbSec_of_Aequorivita sp. H23M31,Ser_of_Aequorivita sp. H23M31,sbSer_of_Aequorivita sp. H23M31,Sgr_of_Aequorivita sp. H23M31,sbSgr_of_Aequorivita sp. H23M31,Aequorivita sp. H23M31,Fsp_in_Aequorivita sp. H23M31,sbSpe_in_Aequorivita sp. H23M31,Var_in_Aequorivita sp. H23M31,sbVar_in_Aequorivita sp. H23M31,For_in_Aequorivita sp. H23M31,Srg_in_Aequorivita sp. H23M31,Srt_in_Aequorivita sp. H23M31,Str_in_Aequorivita sp. H23M31,Iso_in_Aequorivita sp. H23M31
36845,Bacteria,Kin_Terrabacteria group,sbKin_of_Bacillota,spPhy_of_Bacillota,Bacillota,sbPhy_of_Clostridia,inPhy_of_Clostridia,spCla_of_Clostridia,Clostridia,sbCla_of_Eubacteriales,inCla_of_Eubacteriales,Coh_of_Eubacteriales,sbCoh_of_Eubacteriales,spOrd_of_Eubacteriales,Eubacteriales,sbOrd_of_Clostridiaceae,inOrd_of_Clostridiaceae,prOrd_of_Clostridiaceae,spFam_of_Clostridiaceae,Clostridiaceae,sbFam_of_Clostridium,Tri_of_Clostridium,sbTri_of_Clostridium,Clostridium,sbGen_of_Clostridium intestinale,Sec_of_Clostridium intestinale,sbSec_of_Clostridium intestinale,Ser_of_Clostridium intestinale,sbSer_of_Clostridium intestinale,Sgr_of_Clostridium intestinale,sbSgr_of_Clostridium intestinale,Clostridium intestinale,Fsp_in_Clostridium intestinale,sbSpe_in_Clostridium intestinale,Var_in_Clostridium intestinale,sbVar_in_Clostridium intestinale,For_in_Clostridium intestinale,Srg_in_Clostridium intestinale,Srt_in_Clostridium intestinale,Str_in_Clostridium intestinale,Iso_in_Clostridium intestinale
2494373,Bacteria,Kin_FCB group,sbKin_Bacteroidetes/Chlorobi group,spPhy_of_Bacteroidota,Bacteroidota,sbPhy_of_Cytophagia,inPhy_of_Cytophagia,spCla_of_Cytophagia,Cytophagia,sbCla_of_Cytophagales,inCla_of_Cytophagales,Coh_of_Cytophagales,sbCoh_of_Cytophagales,spOrd_of_Cytophagales,Cytophagales,sbOrd_of_Flammeovirgaceae,inOrd_of_Flammeovirgaceae,prOrd_of_Flammeovirgaceae,spFam_of_Flammeovirgaceae,Flammeovirgaceae,sbFam_of_Flammeovirga,Tri_of_Flammeovirga,sbTri_of_Flammeovirga,Flammeovirga,sbGen_of_Flammeovirga pectinis,Sec_of_Flammeovirga pectinis,sbSec_of_Flammeovirga pectinis,Ser_of_Flammeovirga pectinis,sbSer_of_Flammeovirga pectinis,Sgr_of_Flammeovirga pectinis,sbSgr_of_Flammeovirga pectinis,Flammeovirga pectinis,Fsp_in_Flammeovirga pectinis,sbSpe_in_Flammeovirga pectinis,Var_in_Flammeovirga pectinis,sbVar_in_Flammeovirga pectinis,For_in_Flammeovirga pectinis,Srg_in_Flammeovirga pectinis,Srt_in_Flammeovirga pectinis,Str_in_Flammeovirga pectinis,Iso_in_Flammeovirga pectinis
4136,Eukaryota,Viridiplantae,sbKin_of_Streptophyta,spPhy_of_Streptophyta,Streptophyta,Streptophytina,inPhy_of_Embryophyta,spCla_Embryophyta,Magnoliopsida,sbCla_eudicotyledons,inCla_Gunneridae,Coh_Pentapetalae,sbCoh_of_asterids,spOrd_asterids,Lamiales,sbOrd_of_Lamiaceae,inOrd_of_Lamiaceae,prOrd_of_Lamiaceae,spFam_of_Lamiaceae,Lamiaceae,sbFam_in_Lamiaceae,Tri_in_Lamiaceae,sbTri_in_Lamiaceae,Gen_in_Lamiaceae,sbGen_in_Lamiaceae,Sec_in_Lamiaceae,sbSec_in_Lamiaceae,Ser_in_Lamiaceae,sbSer_in_Lamiaceae,Sgr_in_Lamiaceae,sbSgr_in_Lamiaceae,Spe_in_Lamiaceae,Fsp_in_Lamiaceae,sbSpe_in_Lamiaceae,Var_in_Lamiaceae,sbVar_in_Lamiaceae,For_in_Lamiaceae,Srg_in_Lamiaceae,Srt_in_Lamiaceae,Str_in_Lamiaceae,Iso_in_Lamiaceae
36913,Eukaryota,Fungi,Dikarya,spPhy_of_Ascomycota,Ascomycota,Saccharomycotina,inPhy_of_Saccharomycetes,spCla_of_Saccharomycetes,Saccharomycetes,sbCla_of_Saccharomycetales,inCla_of_Saccharomycetales,Coh_of_Saccharomycetales,sbCoh_of_Saccharomycetales,spOrd_of_Saccharomycetales,Saccharomycetales,sbOrd_CUG-Ser1 clade,inOrd_of_Debaryomycetaceae,prOrd_of_Debaryomycetaceae,spFam_of_Debaryomycetaceae,Debaryomycetaceae,sbFam_Candida/Lodderomyces clade,Tri_of_Lodderomyces,sbTri_of_Lodderomyces,Lodderomyces,sbGen_in_Lodderomyces,Sec_in_Lodderomyces,sbSec_in_Lodderomyces,Ser_in_Lodderomyces,sbSer_in_Lodderomyces,Sgr_in_Lodderomyces,sbSgr_in_Lodderomyces,Spe_in_Lodderomyces,Fsp_in_Lodderomyces,sbSpe_in_Lodderomyces,Var_in_Lodderomyces,sbVar_in_Lodderomyces,For_in_Lodderomyces,Srg_in_Lodderomyces,Srt_in_Lodderomyces,Str_in_Lodderomyces,Iso_in_Lodderomyces
888845,Bacteria,Kin_of_Pseudomonadota,sbKin_of_Pseudomonadota,spPhy_of_Pseudomonadota,Pseudomonadota,delta/epsilon subdivisions,inPhy_of_Deltaproteobacteria,spCla_of_Deltaproteobacteria,Deltaproteobacteria,sbCla_of_Myxococcales,inCla_of_Myxococcales,Coh_of_Myxococcales,sbCoh_of_Myxococcales,spOrd_of_Myxococcales,Myxococcales,Sorangiineae,inOrd_of_Sorangiineae incertae sedis,prOrd_of_Sorangiineae incertae sedis,spFam_of_Sorangiineae incertae sedis,Fam_Sorangiineae incertae sedis,sbFam_of_Minicystis,Tri_of_Minicystis,sbTri_of_Minicystis,Minicystis,sbGen_of_Minicystis rosea,Sec_of_Minicystis rosea,sbSec_of_Minicystis rosea,Ser_of_Minicystis rosea,sbSer_of_Minicystis rosea,Sgr_of_Minicystis rosea,sbSgr_of_Minicystis rosea,Minicystis rosea,Fsp_in_Minicystis rosea,sbSpe_in_Minicystis rosea,Var_in_Minicystis rosea,sbVar_in_Minicystis rosea,For_in_Minicystis rosea,Srg_in_Minicystis rosea,Srt_in_Minicystis rosea,Str_in_Minicystis rosea,Iso_in_Minicystis rosea
167963,Bacteria,Kin_Terrabacteria group,sbKin_of_Chloroflexi,spPhy_of_Chloroflexi,Chloroflexi,sbPhy_of_Chloroflexi incertae sedis,inPhy_of_Chloroflexi incertae sedis,spCla_of_Chloroflexi incertae sedis,Cla_of_Chloroflexi incertae sedis,sbCla_of_Chloroflexi incertae sedis,inCla_of_Chloroflexi incertae sedis,Coh_of_Chloroflexi incertae sedis,sbCoh_of_Chloroflexi incertae sedis,spOrd_of_Chloroflexi incertae sedis,Ord_of_Chloroflexi incertae sedis,sbOrd_of_Chloroflexi incertae sedis,inOrd_of_Chloroflexi incertae sedis,prOrd_of_Chloroflexi incertae sedis,spFam_of_Chloroflexi incertae sedis,Fam_Chloroflexi incertae sedis,sbFam_in_Chloroflexi incertae sedis,Tri_in_Chloroflexi incertae sedis,sbTri_in_Chloroflexi incertae sedis,Gen_in_Chloroflexi incertae sedis,sbGen_in_Chloroflexi incertae sedis,Sec_in_Chloroflexi incertae sedis,sbSec_in_Chloroflexi incertae sedis,Ser_in_Chloroflexi incertae sedis,sbSer_in_Chloroflexi incertae sedis,Sgr_in_Chloroflexi incertae sedis,sbSgr_in_Chloroflexi incertae sedis,Spe_in_Chloroflexi incertae sedis,Fsp_in_Chloroflexi incertae sedis,sbSpe_in_Chloroflexi incertae sedis,Var_in_Chloroflexi incertae sedis,sbVar_in_Chloroflexi incertae sedis,For_in_Chloroflexi incertae sedis,Srg_in_Chloroflexi incertae sedis,Srt_in_Chloroflexi incertae sedis,Str_in_Chloroflexi incertae sedis,Iso_in_Chloroflexi incertae sedis
4098,Eukaryota,Viridiplantae,sbKin_of_Streptophyta,spPhy_of_Streptophyta,Streptophyta,Streptophytina,inPhy_of_Embryophyta,spCla_Embryophyta,Magnoliopsida,sbCla_eudicotyledons,inCla_Gunneridae,Coh_Pentapetalae,sbCoh_of_asterids,spOrd_asterids,Solanales,sbOrd_of_Solanaceae,inOrd_of_Solanaceae,prOrd_of_Solanaceae,spFam_of_Solanaceae,Solanaceae,Nicotianoideae,Nicotianeae,sbTri_of_Nicotiana,Nicotiana,sbGen_of_Nicotiana tomentosiformis,Sec_of_Nicotiana tomentosiformis,sbSec_of_Nicotiana tomentosiformis,Ser_of_Nicotiana tomentosiformis,sbSer_of_Nicotiana tomentosiformis,Sgr_of_Nicotiana tomentosiformis,sbSgr_of_Nicotiana tomentosiformis,Nicotiana tomentosiformis,Fsp_in_Nicotiana tomentosiformis,sbSpe_in_Nicotiana tomentosiformis,Var_in_Nicotiana tomentosiformis,sbVar_in_Nicotiana tomentosiformis,For_in_Nicotiana tomentosiformis,Srg_in_Nicotiana tomentosiformis,Srt_in_Nicotiana tomentosiformis,Str_in_Nicotiana tomentosiformis,Iso_in_Nicotiana tomentosiformis
36866,Bacteria,Kin_of_Pseudomonadota,sbKin_of_Pseudomonadota,spPhy_of_Pseudomonadota,Pseudomonadota,sbPhy_of_Gammaproteobacteria,inPhy_of_Gammaproteobacteria,spCla_of_Gammaproteobacteria,Gammaproteobacteria,sbCla_of_Enterobacterales,inCla_of_Enterobacterales,Coh_of_Enterobacterales,sbCoh_of_Enterobacterales,spOrd_of_Enterobacterales,Enterobacterales,sbOrd_of_Enterobacteriaceae,inOrd_of_Enterobacteriaceae,prOrd_of_Enterobacteriaceae,spFam_of_Enterobacteriaceae,Enterobacteriaceae,sbFam_of_unclassified Enterobacteriaceae,Tri_of_unclassified Enterobacteriaceae,sbTri_of_unclassified Enterobacteriaceae,Gen_unclassified Enterobacteriaceae,sbGen_in_unclassified Enterobacteriaceae,Sec_in_unclassified Enterobacteriaceae,sbSec_in_unclassified Enterobacteriaceae,Ser_in_unclassified Enterobacteriaceae,sbSer_in_unclassified Enterobacteriaceae,Sgr_in_unclassified Enterobacteriaceae,sbSgr_in_unclassified Enterobacteriaceae,Spe_in_unclassified Enterobacteriaceae,Fsp_in_unclassified Enterobacteriaceae,sbSpe_in_unclassified Enterobacteriaceae,Var_in_unclassified Enterobacteriaceae,sbVar_in_unclassified Enterobacteriaceae,For_in_unclassified Enterobacteriaceae,Srg_in_unclassified Enterobacteriaceae,Srt_in_unclassified Enterobacteriaceae,Str_in_unclassified Enterobacteriaceae,Iso_in_unclassified Enterobacteriaceae
