Name;element_cycle;pH_preference;real_5;;
Sphingobium sp. SCG-1;C;neutral;3;;
Sphingobium sp. TKS;C;neutral;3;;
Sphingobium sp. YG1;C;neutral;3;;
Sphingobium xenophagum;C;neutral;3;;
Sphingobium yanoikuyae;C;neutral;3;;
Sphingomonas;C;neutral;3;;
Sphingomonas alpina;C;neutral;3;;
Sphingomonas koreensis;C;neutral;3;;
Sphingomonas melonis;C;neutral;3;;
Sphingomonas paeninsulae;C;neutral;3;;
Sphingomonas panacis;C;neutral;3;;
Sphingomonas paucimobilis;C;neutral;3;;
Sphingomonas sanxanigenens;C;neutral;3;;
Sphingomonas sp. AAP5;C;neutral;3;;
Sphingomonas sp. ERG5;C;neutral;3;;
Sphingomonas sp. FARSPH;C;neutral;3;;
Sphingomonas sp. HMP9;C;neutral;3;;
Sphingomonas sp. KC8;C;neutral;3;;
Sphingomonas sp. LK11;C;neutral;3;;
Sphingomonas sp. LM7;C;neutral;3;;
Sphingomonas sp. MM-1;C;neutral;3;;
Sphingomonas sp. NIC1;C;neutral;3;;
Sphingomonas sp. PAMC26645;C;neutral;3;;
Sphingopyxis;unknown;neutral;3;;
Sphingopyxis alaskensis;unknown;neutral;3;;
Sphingopyxis fribergensis;unknown;neutral;3;;
Sphingopyxis granuli;unknown;neutral;3;;
Sphingopyxis macrogoltabida;unknown;neutral;3;;
Sphingopyxis sp. 113P3;unknown;neutral;3;;
Sphingopyxis sp. EG6;unknown;neutral;3;;
Sphingopyxis sp. FD7;unknown;neutral;3;;
Sphingopyxis sp. OPL5;unknown;neutral;3;;
Sphingopyxis sp. QXT-31;unknown;neutral;3;;
Sphingopyxis terrae;unknown;neutral;3;;
Sphingorhabdus;unknown;neutral;3;;
Sphingorhabdus lacus;unknown;neutral;3;;
Sphingorhabdus sp. YGSMI21;unknown;neutral;3;;
Sphingosinicella;C;unknown;out;;
Sphingosinicella microcystinivorans;C;unknown;out;;
Spiribacter;unknown;unknown;out;;
Spirochaeta;aquatic;aquatic;out;;https://de.wikipedia.org/wiki/Spirochaeta
Spirosoma;unknown;neutral;3;;
Spirosoma aerolatum;unknown;neutral;3;;
Spirosoma linguale;unknown;neutral;3;;
Sporosarcina;N;neutral;3;;
Sporosarcina sp. resist;N;neutral;3;;
Staphylococcus;contaminant;contaminant;out;;
Staphylococcus aureus;contaminant;contaminant;out;;
Staphylococcus auricularis;contaminant;contaminant;out;;
Staphylococcus capitis;contaminant;contaminant;out;;
Staphylococcus cohnii;contaminant;contaminant;out;;
Staphylococcus epidermidis;contaminant;contaminant;out;;
Staphylococcus haemolyticus;contaminant;contaminant;out;;
Staphylococcus hominis;contaminant;contaminant;out;;
Staphylococcus pasteuri;contaminant;contaminant;out;;
Staphylococcus pettenkoferi;contaminant;contaminant;out;;
Staphylococcus saccharolyticus;contaminant;contaminant;out;;
Staphylococcus saprophyticus;contaminant;contaminant;out;;
Staphylococcus warneri;contaminant;contaminant;out;;
Stappia;C;neutral;3;;
Stappia indica;C;neutral;3;;
Starkeya;C;neutral;3;;
Starkeya novella;C;neutral;3;;
Starkeya sp. ORNL1;C;neutral;3;;
Stella;unknown;unknown;out;;
Stella humosa;unknown;unknown;out;;
Stella sp. ATCC 35155;unknown;unknown;out;;
Stella vacuolata;unknown;unknown;out;;
Stenotrophomonas;PGPB;acidic;1;;
Stenotrophomonas acidaminiphila;PGPB;acidic;1;;
Stenotrophomonas maltophilia;PGPB;acidic;1;;
Stenotrophomonas rhizophila;PGPB;acidic;1;;
Steroidobacter;C, N;neutral;3;;
Steroidobacter denitrificans;C, N;neutral;3;;
Sterolibacteriaceae bacterium J5B;unknown;unknown;out;;
Sterolibacteriaceae bacterium M52;unknown;unknown;out;;
Sterolibacterium;C, N;neutral;3;;
Sterolibacterium denitrificans;C, N;neutral;3;;
Stigmatella;unknown;unknown;out;;
Stigmatella aurantiaca;unknown;unknown;out;;
Streptacidiphilus;unknown;acidic to neutral;2;;
Streptococcus;C;neutral to alkaline;4;;
Streptococcus gordonii;C;neutral to alkaline;4;;
Streptococcus sanguinis;C;neutral to alkaline;4;;
Streptococcus thermophilus;C;neutral to alkaline;4;;
Streptomyces;C;neutral to alkaline;4;;
Streptomyces asoensis;C;neutral to alkaline;4;;
Streptomyces atratus;C;neutral to alkaline;4;;
Streptomyces avermitilis;C;neutral to alkaline;4;;
Streptomyces finlayi;C;neutral to alkaline;4;;
Streptomyces hygroscopicus;C;neutral to alkaline;4;;
Streptomyces lunaelactis;C;neutral to alkaline;4;;
Streptomyces pratensis;C;neutral to alkaline;4;;
Streptomyces sp. ADI95-16;C;neutral to alkaline;4;;
Streptomyces sp. Mg1;C;neutral to alkaline;4;;
Streptomyces sp. RPA4-2;C;neutral to alkaline;4;;
Streptomyces sp. S1D4-11;C;neutral to alkaline;4;;
Streptomyces sp. So13.3;C;neutral to alkaline;4;;
Streptomyces subrutilus;C;neutral to alkaline;4;;
Streptomyces venezuelae;C;neutral to alkaline;4;;
Streptomyces vinaceus;C;neutral to alkaline;4;;
Streptosporangium;unknown;unknown;out;;
Streptosporangium roseum;unknown;unknown;out;;
Streptosporangium sp. 'caverna';unknown;unknown;out;;
Stutzerimonas balearica;unknown;unknown;out;;
Stutzerimonas stutzeri;unknown;unknown;out;;
Sulfitobacter;S;slightly acidic to alkaline;4;;
Sulfuricaulis;S;slightly acidic to alkaline;4;;
Sulfuricaulis limicola;S;slightly acidic to alkaline;4;;
Sulfuricella;S;neutral;3;;
Sulfuricella denitrificans;N, S;neutral;3;;
Sulfuriferula;S;neutral;3;;
Sulfuriferula nivalis;S;neutral;3;;
Sulfuriferula plumbiphila;S;neutral;3;;
Sulfuriferula sp. AH1;S;neutral;3;;
Sulfuriflexus;S;unknown;out;;
Sulfuriflexus mobilis;S;unknown;out;;
Sulfurifustis;S;neutral;3;;
Sulfurifustis variabilis;S;neutral;3;;
Sulfurimicrobium;S;slightly acidic;2;;
Sulfurimicrobium lacus;S;slightly acidic;2;;
Sulfuritalea;C, N, S;unknown;out;;https://www.midasfieldguide.org/guide/fieldguide/genus/sulfuritalea
Sulfuritalea hydrogenivorans;C, N, S;unknown;out;;
Sulfuritortus;S;neutral;3;;
Sulfuritortus calidifontis;S;neutral;3;;
Sulfurivermis;S;unknown;out;;
Sulfurivermis fontis;S;unknown;out;;
Sulfurospirillum;S;neutral;3;;
Symbiobacterium;symbiosis;neutral to slightly alkaline;4;;
Symbiobacterium thermophilum;symbiosis;neutral to slightly alkaline;4;;
Symmachiella;aquatic;aquatic;out;;https://lpsn.dsmz.de/genus/symmachiella
Symmachiella dynata;aquatic;aquatic;out;;
Synechococcus;contaminant;contaminant;out;;
Synechococcus sp. CBW1107;contaminant;contaminant;out;;
Synechococcus sp. CBW1108;contaminant;contaminant;out;;
Synechococcus sp. PCC 7502;contaminant;contaminant;out;;
Synechocystis;aquatic;aquatic;out;;https://de.wikipedia.org/wiki/Synechocystis
Synechocystis sp. CACIAM 05;aquatic;aquatic;out;;
Syntrophotalea;unknown;unknown;out;;
Tabrizicola;aquatic;aquatic;out;;https://www.microbiologyresearch.org/content/journal/ijsem/10.1099/ijsem.0.004034
Tabrizicola piscis;aquatic;aquatic;out;;
Tardibacter;unknown;unknown;out;;
Tardibacter chloracetimidivorans;unknown;unknown;out;;
Tardiphaga;unknown;unknown;out;;
Tardiphaga robiniae;unknown;unknown;out;;
Tardiphaga sp. vice154;unknown;unknown;out;;
Tardiphaga sp. vice278;unknown;unknown;out;;
Tardiphaga sp. vice304;unknown;unknown;out;;
Tautonia;aquatic;aquatic;out;;https://lpsn.dsmz.de/genus/tautonia
Tautonia plasticadhaerens;aquatic;aquatic;out;;
Tenacibaculum;unknown;unknown;out;;
Tepidiforma;aquatic;aquatic;out;;https://pubmed.ncbi.nlm.nih.gov/31769750/
Tepidiforma bonchosmolovskayae;aquatic;aquatic;out;;
Terricaulis;unknown;unknown;out;;
Terricaulis silvestris;unknown;unknown;out;;
Terriglobus;C;acidic;1;;
Terriglobus roseus;C;acidic;1;;
Terrihabitans soli;unknown;unknown;out;;
Tessaracoccus;unknown;unknown;out;;
Thalassobius;unknown;unknown;out;;
Thalassospira;unknown;unknown;out;;
Thauera;C, N;neutral;3;;
Thauera aromatica;C;neutral;3;;
Thauera humireducens;C, N;neutral;3;;
Thauera sp. K11;C;neutral;3;;
Thauera sp. MZ1T;C;neutral;3;;
Thermaerobacter;contaminant;contaminant;out;;
Thermaerobacter sp. PB12/4term;contaminant;contaminant;out;;
Thermochromatium;unknown;unknown;out;;
Thermochromatium tepidum;unknown;unknown;out;;
Thermomonas;unknown;unknown;out;;
Thermomonas aquatica;aquatic;aquatic;out;;
Thermomonas carbonis;unknown;unknown;out;;
Thermomonas sp. XSG;unknown;unknown;out;;
Thermomonospora;C;unknown;out;;
Thermus;contaminant;contaminant;out;;
Thermus thermophilus;contaminant;contaminant;out;;
Thioalkalivibrio;C, S;alkaline?;5;;https://en.wikipedia.org/wiki/Thioalkalivibrio_versutus
Thioalkalivibrio versutus;C, S;alkaline?;5;;
Thiobacillus;S;neutral;3;;
Thiobacillus denitrificans;S;neutral;3;;
Thiobacillus sp.;S;neutral;3;;
Thioclava;aquatic;aquatic;out;;https://lpsn.dsmz.de/genus/thioclava
Thiodictyon;C, S;unknown;out;;
Thioflavicoccus;aquatic;aquatic;out;;https://en.wikipedia.org/wiki/Thioflavicoccus
Thioflavicoccus mobilis;aquatic;aquatic;out;;
Thiohalobacter;unknown;unknown;out;;
Thiomonas;S;unknown;out;;
Thiomonas arsenitoxydans;S, As;unknown;out;;
Thiomonas intermedia;S;unknown;out;;
Thiothrix;aquatic;aquatic;out;;https://en.wikipedia.org/wiki/Thiothrix
Tistrella;aquatic;aquatic;out;;https://en.wikipedia.org/wiki/Tistrella_mobilis
Tistrella mobilis;aquatic;aquatic;out;;
Treponema;C;neutral;3;;
Trichlorobacter lovleyi;aquatic;aquatic;out;;https://bacdive.dsmz.de/strain/5805
Tsukamurella;unknown;unknown;out;;
Tsuneonella;unknown;unknown;out;;
Turneriella;unknown;unknown;out;;
Turneriella parva;unknown;unknown;out;;
Tuwongella;unknown;unknown;out;;
Tuwongella immobilis;unknown;unknown;out;;
uncultured Acidobacteria bacterium;contaminant;contaminant;out;;
uncultured Acidobacteria bacterium Rifle_16ft_4_minimus_2650;contaminant;contaminant;out;;
uncultured ammonia-oxidizing beta proteobacterium;N;unknown;out;;
uncultured bacterium;contaminant;contaminant;out;;
uncultured bacterium 5G12;contaminant;contaminant;out;;
uncultured bacterium 5G4;contaminant;contaminant;out;;
uncultured bacterium 888;contaminant;contaminant;out;;
uncultured bacterium BAC10-4;contaminant;contaminant;out;;
uncultured bacterium contig00012;contaminant;contaminant;out;;
uncultured bacterium contig00020;contaminant;contaminant;out;;
uncultured bacterium contig00126;contaminant;contaminant;out;;
uncultured bacterium DELDOXY23;contaminant;contaminant;out;;
uncultured bacterium fCS1;contaminant;contaminant;out;;
uncultured bacterium gwa2_scaffold_14;contaminant;contaminant;out;;
uncultured bacterium gwa2_scaffold_142;contaminant;contaminant;out;;
uncultured bacterium gwa2_scaffold_3315;contaminant;contaminant;out;;
uncultured bacterium gwb2_scaffold_0;contaminant;contaminant;out;;
uncultured bacterium KM4-9-H7;contaminant;contaminant;out;;
uncultured bacterium Rifle_16ft_4_minimus_7469;contaminant;contaminant;out;;
uncultured beta proteobacterium;contaminant;contaminant;out;;
uncultured beta proteobacterium Rifle_16ft_4_minimus_37916;contaminant;contaminant;out;;
uncultured Chloroflexi bacterium;contaminant;contaminant;out;;
uncultured Chloroflexi bacterium Rifle_16ft_4_minimus_30550;contaminant;contaminant;out;;
uncultured Chloroflexi bacterium Rifle_16ft_4_minimus_3452;contaminant;contaminant;out;;
uncultured Chloroflexi bacterium Rifle_16ft_4_minimus_36211;contaminant;contaminant;out;;
uncultured cyanobacterium;contaminant;contaminant;out;;
uncultured delta proteobacterium Rifle_16ft_4_minimus_184;contaminant;contaminant;out;;
uncultured delta proteobacterium Rifle_16ft_4_minimus_39832;contaminant;contaminant;out;;
uncultured Desulfobacterium sp.;S;unknown;out;;
uncultured gamma proteobacterium Rifle_16ft_4_minimus_5046;contaminant;contaminant;out;;
uncultured Gammaproteobacteria bacterium;contaminant;contaminant;out;;
uncultured Gemmatimonadetes bacterium Rifle_16ft_4_minimus_37772;contaminant;contaminant;out;;
uncultured Nitrospirae bacterium Rifle_16ft_4_minimus_10340;N;unknown;out;;
uncultured Paenibacillus sp.;C;alkaline?;5;;
uncultured Phormidium sp.;contaminant;contaminant;out;;
uncultured soil bacterium;unknown;unknown;out;;
Undibacterium;unknown;neutral;3;;
Undibacterium parvum;unknown;neutral;3;;
Undibacterium piscinae;unknown;neutral;3;;
Undibacterium sp. KW1;unknown;neutral;3;;
Undibacterium sp. YM2;unknown;neutral;3;;
Urbifossiella;contaminant;contaminant;out;;
Urbifossiella limnaea;contaminant;contaminant;out;;
Usitatibacter;N;unknown;out;;
Usitatibacter palustris;N;unknown;out;;
Usitatibacter rugosus;N;unknown;out;;
Variibacter;N;unknown;out;;
Variibacter gotjawalensis;N;unknown;out;;
Variovorax;PGPB;unknown;out;;
Variovorax boronicumulans;PGPB;unknown;out;;
Variovorax paradoxus;PGPB;unknown;out;;
Variovorax sp. 38R;PGPB;unknown;out;;
Variovorax sp. HW608;PGPB;unknown;out;;
Variovorax sp. PAMC 28711;PGPB;unknown;out;;
Variovorax sp. PAMC26660;PGPB;unknown;out;;
Variovorax sp. PAMC28562;PGPB;unknown;out;;
Variovorax sp. PBL-E5;PGPB;unknown;out;;
Variovorax sp. PBL-H6;PGPB;unknown;out;;
Variovorax sp. PBS-H4;PGPB;unknown;out;;
Variovorax sp. RA8;PGPB;unknown;out;;
Variovorax sp. RKNM96;PGPB;unknown;out;;
Variovorax sp. SRS16;PGPB;unknown;out;;
Variovorax sp. WDL1;PGPB;unknown;out;;
Veillonella;C;neutral;3;;
Veillonella parvula;C;neutral;3;;
Verminephrobacter;unknown;unknown;out;;
Verminephrobacter eiseniae;unknown;unknown;out;;
Verrucomicrobia bacterium IMCC26134;unknown;neutral?;3;;
Verrucomicrobium;unknown;neutral?;3;;
Verrucomicrobium sp. GAS474;unknown;neutral?;3;;
Vibrio;unknown;unknown;out;;
Viridibacillus;unknown;unknown;out;;
Viridibacillus sp. JNUCC-6;unknown;unknown;out;;
Vitreoscilla;C;neutral;3;;
Vitreoscilla filiformis;C;neutral;3;;
Vogesella;unknown;unknown;out;;
Vogesella sp. LIG4;unknown;unknown;out;;
Vulgatibacter;C;neutral;3;;
Vulgatibacter incomptus;C;neutral;3;;
Weissella;unknown;unknown;out;;
Weizmannia;C;unknown;out;;
Weizmannia coagulans;C;unknown;out;;
Wenzhouxiangella;aquatic;aquatic;out;;https://lpsn.dsmz.de/genus/wenzhouxiangella
Wenzhouxiangella marina;aquatic;aquatic;out;;
Winogradskyella;aquatic;aquatic;out;;https://www.nature.com/articles/s43705-021-00052-w
Woeseia;aquatic;aquatic;out;;https://www.nature.com/articles/s41396-020-0588-4
Woeseia oceani;aquatic;aquatic;out;;
Xanthobacter;N;neutral;3;;
Xanthobacter autotrophicus;N;neutral;3;;
Xanthobacter dioxanivorans;N;neutral;3;;
Xanthomonas;C;neutral;3;;
Xanthomonas arboricola;C;neutral;3;;
Xanthomonas campestris;C;neutral;3;;
Xanthomonas citri;C;neutral;3;;
Xanthomonas oryzae;C;neutral;3;;
Xanthomonas translucens;C;neutral;3;;
Xylophilus;unknown;neutral;3;;
Xylophilus rhododendri;unknown;neutral;3;;
Yersinia;C, N;unknown;out;;
