Name;assignment;pH;ref_pH;real_5;
Dryas octopetala;herbaceous;slightly acidic to slightly alkaline;https://pfaf.org/user/plant.aspx?latinname=Dryas+octopetala;3;
Dryopteris;fern;slightly acidic to neutral;https://pfaf.org/user/plant.aspx?latinname=dryopteris;2;
Dryopteris blanfordii;contaminant;out;out;out;
Dryopteris fragrans;fern;slightly acidic to neutral;https://pfaf.org/user/plant.aspx?latinname=dryopteris;2;
Dudleya;contaminant;out;out;out;
Dudleya viscida;contaminant;out;out;out;
Duparquetia;contaminant;out;out;out;
Duparquetia orchidacea;contaminant;out;out;out;
Durio;contaminant;out;out;out;
Durio zibethinus;contaminant;out;out;out;
Echinosophora;contaminant;out;out;out;
Echinosophora koreensis;contaminant;out;out;out;
Elaeis;contaminant;out;out;out;
Elaeis guineensis;contaminant;out;out;out;
Elaeocarpus;contaminant;out;out;out;
Elaeocarpus glabripetalus;contaminant;out;out;out;
Eleocharis;aquatic;out;out;out;
Eleocharis dulcis;aquatic;out;out;out;
Eleocharis elegans;aquatic;out;out;out;
Eleocharis uniglumis;aquatic;out;out;out;
Eleusine;contaminant;out;out;out;
Eleusine indica;contaminant;out;out;out;
Elymus;contaminant;out;out;out;
Elymus sibiricus;contaminant;out;out;out;
Elymus stipifolius;contaminant;out;out;out;
Emmenopterys;contaminant;out;out;out;
Emmenopterys henryi;contaminant;out;out;out;
Empetrum;herbaceous;slightly acidic;https://pfaf.org/user/plant.aspx?latinname=Empetrum+nigrum;2;
Empetrum rubrum;contaminant;out;out;out;
Endocellion;herbaceous;unknown;out;out;
Endocellion sibiricum;herbaceous;unknown;out;out;
Endospermum;contaminant;out;out;out;
Endospermum moluccanum;contaminant;out;out;out;
Epifagus;contaminant;out;out;out;
Epifagus virginiana;contaminant;out;out;out;
Epilobium;herbaceous;slightly acidic to neutral;https://www.gardenershq.com/Epilobium-French-Willow.php;2;
Epilobium dodonaei;contaminant;out;out;out;
Epilobium palustre;herbaceous;slightly acidic to neutral;https://www.gardenershq.com/Epilobium-French-Willow.php;2;
Equisetum;herbaceous;acidic to neutral;https://www.thespruce.com/horsetail-plant-aggressively-spreading-weed-4125787;2;
Equisetum arvense;herbaceous;acidic to neutral;https://www.thespruce.com/horsetail-plant-aggressively-spreading-weed-4125787;2;
Equisetum giganteum;contaminant;out;out;out;
Equisetum hyemale;herbaceous;acidic to neutral;https://www.thespruce.com/horsetail-plant-aggressively-spreading-weed-4125787;2;
Equisetum palustre;herbaceous;acidic to neutral;https://www.thespruce.com/horsetail-plant-aggressively-spreading-weed-4125787;2;
Eremocharis;contaminant;out;out;out;
Eremocharis fruticosa;contaminant;out;out;out;
Eremopogon;contaminant;out;out;out;
Eremopogon foveolatus;contaminant;out;out;out;
Erigeron;herbaceous;neutral;https://www.epicgardening.com/erigeron-karvinskianus/;3;
Eriocaulon;contaminant;out;out;out;
Eriocaulon schimperi;contaminant;out;out;out;
Eriophorum;herbaceous;acidic;https://pfaf.org/user/plant.aspx?LatinName=Eriophorum+angustifolium;1;
Eriophorum angustifolium;herbaceous;acidic;https://pfaf.org/user/plant.aspx?LatinName=Eriophorum+angustifolium;1;
Eritrichium;herbaceous;slightly acidic to slightly alkaline;https://pfaf.org/user/Plant.aspx?LatinName=Eritrichium;3;
Eritrichium nanum;contaminant;out;out;out;
Eritrichium sericeum;herbaceous;slightly acidic to slightly alkaline;https://pfaf.org/user/Plant.aspx?LatinName=Eritrichium;3;
Eritrichium villosum;herbaceous;slightly acidic to slightly alkaline;https://pfaf.org/user/Plant.aspx?LatinName=Eritrichium;slightly acidic to slightly alkaline;
Erythranthe;contaminant;out;out;out;
Erythranthe guttata;contaminant;out;out;out;
Erythrospermum;contaminant;out;out;out;
Erythroxylum;contaminant;out;out;out;
Erythroxylum coca;contaminant;out;out;out;
Eucalyptus;contaminant;out;out;out;
Eucalyptus grandis;contaminant;out;out;out;
Euonymus;contaminant;out;out;out;
Euonymus alatus;contaminant;out;out;out;
Euonymus carnosus;contaminant;out;out;out;
Euphorbia;contaminant;out;out;out;
Euphrasia;herbaceous;slightly alkaline;https://cronodon.com/NatureTech/euphrasia.html;4;
Euphrasia regelii;contaminant;out;out;out;
Euptelea;contaminant;out;out;out;
Euptelea polyandra;contaminant;out;out;out;
Eurycoma;contaminant;out;out;out;
Eurycoma longifolia;contaminant;out;out;out;
Eutrema;herbaceous;slightly alkaline;https://extremeplants.org/species/eutrema-salsugineum/;4;
Eutrema halophilum;contaminant;out;out;out;
Eutrema salsugineum;contaminant;out;out;out;
Evolvulus;contaminant;out;out;out;
Exochorda;contaminant;out;out;out;
Fagopyrum;contaminant;out;out;out;
Fagopyrum esculentum;contaminant;out;out;out;
Fagopyrum hailuogouense;contaminant;out;out;out;
Fagus;contaminant;out;out;out;
Fagus sylvatica;contaminant;out;out;out;
Fallopia;contaminant;out;out;out;
Fallopia multiflora;contaminant;out;out;out;
Fallopia sachalinensis;contaminant;out;out;out;
Ferrocalamus;contaminant;out;out;out;
Ferrocalamus rimosivaginus;contaminant;out;out;out;
Ferula;contaminant;out;out;out;
Ferula sinkiangensis;contaminant;out;out;out;
Festuca;grass;pH tolerant;https://www.thespruce.com/blue-fescue-grass-2132481;pH tolerant;
Festuca alopecuros;contaminant;out;out;out;
Festuca glaucescens x Lolium multiflorum;contaminant;out;out;out;
Festuca pratensis;contaminant;out;out;out;
Festuca sp. YLDP282A;contaminant;out;out;out;
Ficus;contaminant;out;out;out;
Ficus iidana;contaminant;out;out;out;
Flacourtia;contaminant;out;out;out;
Flacourtia indica;contaminant;out;out;out;
Flacourtia jangomas;contaminant;out;out;out;
Fragaria;herbaceous;slightly acidic to slightly alkaline;https://pfaf.org/user/plant.aspx?latinname=Fragaria+vesca;3;
Fragaria chiloensis;contaminant;out;out;out;
Fragaria mandshurica;contaminant;out;out;out;
Fragaria vesca;herbaceous;slightly acidic to slightly alkaline;https://pfaf.org/user/plant.aspx?latinname=Fragaria+vesca;3;
Fragaria x ananassa;contaminant;out;out;out;
Frangula;shrub;acidic to slightly alkaline;http://woodyplants.cals.cornell.edu/plant/212;3;
Frangula alnus;shrub;acidic to slightly alkaline;http://woodyplants.cals.cornell.edu/plant/212;3;
Funaria;moss;slightly alkaline;https://www.jstor.org/stable/3242217;4;
Funaria hygrometrica;moss;slightly alkaline;https://www.jstor.org/stable/3242217;4;
Galium;herbaceous;slightly acidic to slightly alkaline;https://pfaf.org/user/Plant.aspx?LatinName=Galium+gracile;3;
Galphimia;contaminant;out;out;out;
Galphimia angustifolia;contaminant;out;out;out;
Galphimia glauca;contaminant;out;out;out;
Garcinia;contaminant;out;out;out;
Garcinia mangostana;contaminant;out;out;out;
Gemmabryum;contaminant;out;out;out;
Gemmabryum caespiticium;contaminant;out;out;out;
Genlisea;contaminant;out;out;out;
Geranium;herbaceous;slightly acidic;https://www.canr.msu.edu/news/low_ph_induces_iron_and_manganese_toxicity_in_geraniums;2;
Geranium maderense;contaminant;out;out;out;
Geum;herbaceous;slightly acidic to neutral;https://www.gardenershq.com/Geum-Avens.php;2;
Geum rupestre;contaminant;out;out;out;
Glycine;contaminant;out;out;out;
Glycine max;contaminant;out;out;out;
Glycine soja;contaminant;out;out;out;
Glycyrrhiza;contaminant;out;out;out;
Gnetum;contaminant;out;out;out;
Gnetum gnemon;contaminant;out;out;out;
Gossypioides;contaminant;out;out;out;
Gossypioides kirkii;contaminant;out;out;out;
Gossypium;contaminant;out;out;out;
Gossypium arboreum;contaminant;out;out;out;
Gossypium harknessii;contaminant;out;out;out;
Gossypium hirsutum;contaminant;out;out;out;
Gossypium raimondii;contaminant;out;out;out;
Gossypium turneri;contaminant;out;out;out;
Gymnomitrion;moss;unknown;out;out;
Gymnomitrion concinnatum;moss;unknown;out;out;
Gymnosiphon;contaminant;out;out;out;
Gymnosiphon longistylus;contaminant;out;out;out;
Haberlea;contaminant;out;out;out;
Haberlea rhodopensis;contaminant;out;out;out;
Haematoxylum;contaminant;out;out;out;
Haematoxylum brasiletto;contaminant;out;out;out;
Haloxylon;contaminant;out;out;out;
Hamamelis;contaminant;out;out;out;
Hamamelis mollis;contaminant;out;out;out;
Hedychium;contaminant;out;out;out;
Hedychium coronarium;contaminant;out;out;out;
Hedyotis;contaminant;out;out;out;
Hedysarum;herbaceous;slightly acidic to slightly alkaline;https://acrre.ualberta.ca/acrre/wp-content/uploads/sites/45/2018/04//Hedysarum_alpinum.pdf;3;
Hedysarum consanguineum;herbaceous;slightly acidic to slightly alkaline;https://acrre.ualberta.ca/acrre/wp-content/uploads/sites/45/2018/04//Hedysarum_alpinum.pdf;3;
Hedysarum petrovii;contaminant;out;out;out;
Hedysarum semenovii;contaminant;out;out;out;
Hedysarum taipeicum;contaminant;out;out;out;
Heisteria;contaminant;out;out;out;
Heisteria concinna;contaminant;out;out;out;
Helianthus;contaminant;out;out;out;
Helianthus annuus;contaminant;out;out;out;
Helictotrichon;grass;neutral to slightly alkaline;https://www.gardenershq.com/inthegarden/helictotrichon-sempervirens-blue-oat-grass/;4;
Helictotrichon convolutum;contaminant;out;out;out;
Heliophila;contaminant;out;out;out;
Heliophila pusilla;contaminant;out;out;out;
Hemarthria;contaminant;out;out;out;
Hemarthria compressa;contaminant;out;out;out;
Hemerocallis;contaminant;out;out;out;
Hemiptelea;contaminant;out;out;out;
Hemiptelea davidii;contaminant;out;out;out;
Hepatica maxima;contaminant;out;out;out;
Herrania;contaminant;out;out;out;
Herrania umbratica;contaminant;out;out;out;
Hesperelaea;contaminant;out;out;out;
Hesperelaea palmeri;contaminant;out;out;out;
Hesperocyparis;contaminant;out;out;out;
Hesperocyparis glabra;contaminant;out;out;out;
Heuchera;contaminant;out;out;out;
Heuchera parviflora;contaminant;out;out;out;
Hevea;contaminant;out;out;out;
Hevea brasiliensis;contaminant;out;out;out;
Hibbertia;contaminant;out;out;out;
Hibbertia amplexicaulis;contaminant;out;out;out;
Hibiscus;contaminant;out;out;out;
Hibiscus cannabinus;contaminant;out;out;out;
Hibiscus syriacus;contaminant;out;out;out;
Hippophae;shrub;slightly acidic to slightly alkaline;https://pfaf.org/user/plant.aspx?LatinName=Hippophae+rhamnoides;3;
Hippophae rhamnoides;shrub;slightly acidic to slightly alkaline;https://pfaf.org/user/plant.aspx?LatinName=Hippophae+rhamnoides;3;
Hippuris;aquatic;out;out;out;
Hippuris vulgaris;aquatic;out;out;out;
Homalium;contaminant;out;out;out;
Homalium paniculiflorum;contaminant;out;out;out;
Hordeum;contaminant;out;out;out;
Hordeum bogdanii;contaminant;out;out;out;
Hordeum brachyantherum;contaminant;out;out;out;
Hordeum brevisubulatum;contaminant;out;out;out;
Hordeum chilense;contaminant;out;out;out;
Hordeum murinum;contaminant;out;out;out;
Hordeum patagonicum;contaminant;out;out;out;
Hordeum pubiflorum;contaminant;out;out;out;
Hordeum pusillum;contaminant;out;out;out;
Hordeum vulgare;contaminant;out;out;out;
Huperzia;herbaceous;slightly acidic;https://www.araflora.com/index.php?route=product/product/pdf&product_id=1026;2;
Hydrangea;contaminant;out;out;out;
Hydrangea arguta;contaminant;out;out;out;
Hydrangea macrophylla;contaminant;out;out;out;
Hydrocotyle;contaminant;out;out;out;
Hydrocotyle sibthorpioides;contaminant;out;out;out;
Hylocomium;moss;unknown;out;out;
Hylocomium splendens;moss;unknown;out;out;
Hylomecon;contaminant;out;out;out;
Hylomecon japonica;contaminant;out;out;out;
Hyoscyamus;contaminant;out;out;out;
Hyoscyamus niger;contaminant;out;out;out;
Hyptis;contaminant;out;out;out;
Hyptis pachyphylla;contaminant;out;out;out;
Idesia;contaminant;out;out;out;
Idesia polycarpa;contaminant;out;out;out;
Ilex;contaminant;out;out;out;
Ilex aquifolium;contaminant;out;out;out;
Ilex pubescens;contaminant;out;out;out;
Indigofera;contaminant;out;out;out;
Indigofera tinctoria;contaminant;out;out;out;
Ipomoea;contaminant;out;out;out;
Ipomoea nil;contaminant;out;out;out;
Ipomoea trifida;contaminant;out;out;out;
Ipomoea triloba;contaminant;out;out;out;
Itea;contaminant;out;out;out;
Itea chinensis;contaminant;out;out;out;
Itoa;contaminant;out;out;out;
Itoa orientalis;contaminant;out;out;out;
Ixonanthes;contaminant;out;out;out;
Ixora;contaminant;out;out;out;
Jasminum;contaminant;out;out;out;
Jasminum polyanthum;contaminant;out;out;out;
Jatropha;contaminant;out;out;out;
Jatropha curcas;contaminant;out;out;out;
Juglans;contaminant;out;out;out;
Juglans cinerea;contaminant;out;out;out;
Juglans regia;contaminant;out;out;out;
Juncus;contaminant;out;out;out;
Juncus effusus;contaminant;out;out;out;
Juniperus;shrub;slightly acidic to neutral;https://www.depauw.edu/about/campus/naturepark/research-project-list/junipers-and-soil-ph/;2;
Juniperus communis;shrub;slightly acidic to neutral;https://www.depauw.edu/about/campus/naturepark/research-project-list/junipers-and-soil-ph/;2;
Kageneckia;contaminant;out;out;out;
Kageneckia angustifolia;contaminant;out;out;out;
Kageneckia lanceolata;contaminant;out;out;out;
Kerria;contaminant;out;out;out;
Kerria japonica;contaminant;out;out;out;
Kingdonia;contaminant;out;out;out;
Kingdonia uniflora;contaminant;out;out;out;
Klainedoxa;contaminant;out;out;out;
Klainedoxa gabonensis;contaminant;out;out;out;
Knorringia;herbaceous;unknown;out;out;
Knorringia sibirica;herbaceous;unknown;out;out;
Koenigia;herbaceous;slightly acidic;https://scialert.net/fulltext/?doi=pjbs.2003.252.254;2;
Koenigia islandica;herbaceous;slightly acidic;https://scialert.net/fulltext/?doi=pjbs.2003.252.254;2;
Lactuca;contaminant;out;out;out;
Lactuca sativa;contaminant;out;out;out;
Lagerstroemia;contaminant;out;out;out;
Lagerstroemia indica;contaminant;out;out;out;
Lagotis;contaminant;out;out;out;
Lagotis brevituba;contaminant;out;out;out;
Lagotis yunnanensis;contaminant;out;out;out;
Lantana;contaminant;out;out;out;
Lantana camara;contaminant;out;out;out;
Larix;tree;acidic;https://farmhomestead.com/soil-ph-preferences-trees/;1;
Larix decidua;contaminant;out;out;out;
Larix gmelinii;tree;acidic;https://farmhomestead.com/soil-ph-preferences-trees/;1;
Larix griffithii;contaminant;out;out;out;
Larix kaempferi;contaminant;out;out;out;
Larix occidentalis;contaminant;out;out;out;
Larix sibirica;tree;acidic;https://farmhomestead.com/soil-ph-preferences-trees/;1;
Larix sp. WSU-cult;contaminant;out;out;out;
Lennoa;contaminant;out;out;out;
Lennoa madreporoides;contaminant;out;out;out;
Lens;contaminant;out;out;out;
Lens culinaris;contaminant;out;out;out;
Lessertia;contaminant;out;out;out;
Lessertia frutescens;contaminant;out;out;out;
Leucaena;contaminant;out;out;out;
Leucaena trichandra;contaminant;out;out;out;
Leymus;contaminant;out;out;out;
Leymus racemosus;contaminant;out;out;out;
Leymus triticoides;contaminant;out;out;out;
Libidibia;contaminant;out;out;out;
Libidibia coriaria;contaminant;out;out;out;
Licania;contaminant;out;out;out;
Licania majuscula;contaminant;out;out;out;
Ligusticum;contaminant;out;out;out;
Ligustrum;contaminant;out;out;out;
Ligustrum quihoui;contaminant;out;out;out;
Lilium;herbaceous;neutral;https://www.burpee.com/blog/encyclopedia__lily-article.html;3;
Lilium longiflorum;contaminant;out;out;out;
Lilium tsingtauense;contaminant;out;out;out;
Limonium;contaminant;out;out;out;
Linum;herbaceous;no preferences;https://pfaf.org/user/Plant.aspx?LatinName=Linum+usitatissimum;out;
Linum usitatissimum;herbaceous;no preferences;https://pfaf.org/user/Plant.aspx?LatinName=Linum+usitatissimum;out;
Liriodendron;contaminant;out;out;out;
Liriodendron tulipifera;contaminant;out;out;out;
Litsea;contaminant;out;out;out;
Litsea cubeba;contaminant;out;out;out;
Lobelia;contaminant;out;out;out;
Lobelia fervens;contaminant;out;out;out;
Lolium;contaminant;out;out;out;
Lolium multiflorum;contaminant;out;out;out;
Lolium perenne;contaminant;out;out;out;
Lolium temulentum;contaminant;out;out;out;
Lomandra;contaminant;out;out;out;
Lomandra longifolia;contaminant;out;out;out;
Lonicera;shrub;slightly acidic to slightly alkaline;https://pfaf.org/user/Plant.aspx?LatinName=Lonicera+periclymenum;3;
Lotus;contaminant;out;out;out;
Lotus japonicus;contaminant;out;out;out;
Ludwigia;contaminant;out;out;out;
Ludwigia octovalvis;contaminant;out;out;out;
Luffa;contaminant;out;out;out;
Luffa acutangula;contaminant;out;out;out;
Lupinus;contaminant;out;out;out;
Lupinus angustifolius;contaminant;out;out;out;
Luzula;herbaceous;acidic to slightly alkaline;https://www.researchgate.net/publication/265250389_Biology_and_ecology_of_an_invasion_of_Impatiens_parviflora_DC_in_natural_and_semi-natural_habitats;2;
Lycopodium;herbaceous;unknown;out;out;
Lycopodium lagopus;herbaceous;unknown;out;out;
Lyonothamnus;contaminant;out;out;out;
Lyonothamnus floribundus;contaminant;out;out;out;
Magnolia;contaminant;out;out;out;
Magnolia biondii;contaminant;out;out;out;
Magnolia sinica;contaminant;out;out;out;
Malania;contaminant;out;out;out;
Malania oleifera;contaminant;out;out;out;
Malus;contaminant;out;out;out;
Malus domestica;contaminant;out;out;out;
Mangifera;contaminant;out;out;out;
Mangifera indica;contaminant;out;out;out;
Manihot;contaminant;out;out;out;
Manihot esculenta;contaminant;out;out;out;
Marchantia;moss;slightly acidic;https://www.fs.fed.us/database/feis/plants/bryophyte/marpol/all.html;2;
Marchantia polymorpha;moss;slightly acidic;https://www.fs.fed.us/database/feis/plants/bryophyte/marpol/all.html;2;
Mastixia;contaminant;out;out;out;
Mastixia pentandra;contaminant;out;out;out;
Matteuccia;contaminant;out;out;out;
Matteuccia struthiopteris;contaminant;out;out;out;
Maundia;contaminant;out;out;out;
Maundia triglochinoides;contaminant;out;out;out;
Meconopsis;contaminant;out;out;out;
Medicago;herbaceous;neutral;https://www.sciencedirect.com/topics/agricultural-and-biological-sciences/medicago-sativa;3;
Medicago falcata;herbaceous;neutral;https://www.sciencedirect.com/topics/agricultural-and-biological-sciences/medicago-sativa;3;
Medicago sativa;contaminant;out;out;out;
Medicago truncatula;contaminant;out;out;out;
Medinilla;contaminant;out;out;out;
Medinilla magnifica;contaminant;out;out;out;
Meesia;moss;unknown;out;out;
Melampyrum;herbaceous;acidic;https://www.sciencedirect.com/topics/agricultural-and-biological-sciences/melampyrum;1;
Melilotus;herbaceous;neutral to slightly alkaline;http://extension.msstate.edu/content/yellow-sweetclover-melilotus-officinalis;4;
Melilotus albus;herbaceous;neutral to slightly alkaline;http://extension.msstate.edu/content/yellow-sweetclover-melilotus-officinalis;4;
Mentha;herbaceous;slightly acidic;https://www.dpi.nsw.gov.au/agriculture/horticulture/vegetables/commodity-growing-guides/mint-growing;2;
Mentha canadensis;herbaceous;slightly acidic;https://www.dpi.nsw.gov.au/agriculture/horticulture/vegetables/commodity-growing-guides/mint-growing;2;
Mesua;contaminant;out;out;out;
Mesua ferrea;contaminant;out;out;out;
Micranthes;herbaceous;slightly acidic to slightly alkaline;https://pfaf.org/user/Plant.aspx?LatinName=Micranthes+pensylvanica;3;
Micranthes integrifolia;herbaceous;slightly acidic to slightly alkaline;https://pfaf.org/user/Plant.aspx?LatinName=Micranthes+pensylvanica;3;
Micranthes melanocentra;contaminant;out;out;out;
Micranthes nivalis;herbaceous;slightly acidic to slightly alkaline;https://pfaf.org/user/Plant.aspx?LatinName=Micranthes+pensylvanica;3;
Micranthes punctata;herbaceous;slightly acidic to slightly alkaline;https://pfaf.org/user/Plant.aspx?LatinName=Micranthes+pensylvanica;3;
Microcachrys;contaminant;out;out;out;
Microcachrys tetragona;contaminant;out;out;out;
Mirabilis;contaminant;out;out;out;
Mirabilis himalaica;contaminant;out;out;out;
Mitrasacme;contaminant;out;out;out;
Mitrasacme pygmaea;contaminant;out;out;out;
Mnium;moss;unknown;out;out;
Mnium marginatum;contaminant;out;out;out;
Momordica;contaminant;out;out;out;
Momordica charantia;contaminant;out;out;out;
Monotropa;contaminant;out;out;out;
Monotropa hypopitys;contaminant;out;out;out;
Moringa;contaminant;out;out;out;
Moringa oleifera;contaminant;out;out;out;
Morus;contaminant;out;out;out;
Morus notabilis;contaminant;out;out;out;
Musa;contaminant;out;out;out;
Musa acuminata;contaminant;out;out;out;
Musa schizocarpa;contaminant;out;out;out;
Mussaenda;contaminant;out;out;out;
Mussaenda densiflora;contaminant;out;out;out;
Myosotis;herbaceous;slightly acidic to slightly alkaline;https://gardenerspath.com/plants/flowers/grow-forget-me-not/;3;
Myosotis alpestris;herbaceous;slightly acidic to slightly alkaline;https://gardenerspath.com/plants/flowers/grow-forget-me-not/;3;
Myosotis laxa;herbaceous;slightly acidic to slightly alkaline;https://gardenerspath.com/plants/flowers/grow-forget-me-not/;3;
Myosotis pulvinaris;contaminant;out;out;out;
Myriophyllum;aquatic;out;out;out;
Myriophyllum spicatum;aquatic;out;out;out;
Myurella;moss;unknown;out;out;
Myurella julacea;moss;unknown;out;out;
Natsiatum;contaminant;out;out;out;
Natsiatum herpeticum;contaminant;out;out;out;
Neillia;contaminant;out;out;out;
Nelumbo;contaminant;out;out;out;
Nelumbo nucifera;contaminant;out;out;out;
Neobartsia;contaminant;out;out;out;
Neobartsia pedicularoides;contaminant;out;out;out;
Neolamarckia;contaminant;out;out;out;
Neolamarckia cadamba;contaminant;out;out;out;
Neopringlea;contaminant;out;out;out;
Neopringlea integrifolia;contaminant;out;out;out;
Neoscortechinia;contaminant;out;out;out;
Neoscortechinia forbesii;contaminant;out;out;out;
Nepenthes;contaminant;out;out;out;
Nepenthes ventricosa x Nepenthes alata;contaminant;out;out;out;
Nicotiana;contaminant;out;out;out;
Nicotiana attenuata;contaminant;out;out;out;
Nicotiana sylvestris;contaminant;out;out;out;
Nicotiana tabacum;contaminant;out;out;out;
Nicotiana tomentosiformis;contaminant;out;out;out;
Nigella;contaminant;out;out;out;
Nigella damascena;contaminant;out;out;out;
Nitraria;contaminant;out;out;out;
Noccaea;herbaceous;unknown;out;out;
Nymphaea;aquatic;out;out;out;
Nymphaea colorata;aquatic;out;out;out;
Oberonioides;contaminant;out;out;out;
Oberonioides microtatantha;contaminant;out;out;out;
Oenothera;contaminant;out;out;out;
Olea;contaminant;out;out;out;
Olea europaea;contaminant;out;out;out;
Olimarabidopsis;contaminant;out;out;out;
Olimarabidopsis pumila;contaminant;out;out;out;
Ombrophytum;contaminant;out;out;out;
Ombrophytum subterraneum;contaminant;out;out;out;
Onobrychis;herbaceous;neutral to slightly alkaline;https://www.balkep.org/onobrychis-viciifolia.html;4;
Onobrychis viciifolia;contaminant;out;out;out;
Onoclea;contaminant;out;out;out;
Onoclea sensibilis;contaminant;out;out;out;
Opisthocentra;contaminant;out;out;out;
Opisthocentra clidemioides;contaminant;out;out;out;
Ormosia;contaminant;out;out;out;
Ormosia boluoensis;contaminant;out;out;out;
Orobanche;contaminant;out;out;out;
Orobanche austrohispanica;contaminant;out;out;out;
Orobanche crenata;contaminant;out;out;out;
Orobanche densiflora;contaminant;out;out;out;
Orobanche rapum-genistae;contaminant;out;out;out;
Oryza;contaminant;out;out;out;
Oryza brachyantha;contaminant;out;out;out;
Oryza coarctata;contaminant;out;out;out;
Oryza minuta;contaminant;out;out;out;
Oryza officinalis;contaminant;out;out;out;
Oryza sativa;contaminant;out;out;out;
Oxalis;herbaceous;slightly acidic;https://www.gardenershq.com/Oxalis-Shamrock-Sorrel.php;2;
Oxalis dillenii;contaminant;out;out;out;
Oxygraphis;herbaceous;acidic;https://worldspecies.org/ntaxa/836722;1;
Oxygraphis glacialis;herbaceous;acidic;https://worldspecies.org/ntaxa/836723;1;
Oxyria;herbaceous;slightly acidic to slightly alkaline;https://pfaf.org/user/Plant.aspx?LatinName=Oxyria+digyna;3;
Oxyria digyna;herbaceous;slightly acidic to slightly alkaline;https://pfaf.org/user/Plant.aspx?LatinName=Oxyria+digyna;3;
Oxytropis;contaminant;out;out;out;
Oxytropis aucherii;contaminant;out;out;out;
Oxytropis diversifolia;contaminant;out;out;out;
Oxytropis ochrocephala;contaminant;out;out;out;
Oxytropis sericea;contaminant;out;out;out;
Pachypleurum;herbaceous;unknown;out;out;
Packera;herbaceous;acidic to neutral;https://www.gardenia.net/plant/packera-aurea;2;
Packera eurycephala;contaminant;out;out;out;
Paeonia;herbaceous;neutral;https://hgic.clemson.edu/factsheet/peonies/;3;
Paeonia brownii;contaminant;out;out;out;
Paeonia suffruticosa;contaminant;out;out;out;
Panax;contaminant;out;out;out;
Panax ginseng;contaminant;out;out;out;
Panicum;contaminant;out;out;out;
Panicum hallii;contaminant;out;out;out;
Panicum virgatum;contaminant;out;out;out;
Papaver;herbaceous;neutral;https://www.whiteflowerfarm.com/how-to-grow-oriental-poppies;3;
Papaver alpinum;contaminant;out;out;out;
Papaver nudicaule;herbaceous;neutral;https://www.thespruce.com/how-to-grow-and-care-for-iceland-poppies-5075743;3;
Papaver somniferum;contaminant;out;out;out;
Parastemon;contaminant;out;out;out;
Parastemon urophyllus;contaminant;out;out;out;
Parnassia;herbaceous;slightly acidic;https://carnivorousplantnursery.com/products/grass-of-parnassus;2;
Parrya;contaminant;out;out;out;
Parrya pinnatifida;contaminant;out;out;out;
Passiflora;contaminant;out;out;out;
Passiflora affinis;contaminant;out;out;out;
Passiflora edulis;contaminant;out;out;out;
Passiflora tetrandra;contaminant;out;out;out;
Pausandra;contaminant;out;out;out;
Pausandra martinii;contaminant;out;out;out;
Pectocarya;contaminant;out;out;out;
Pectocarya penicillata;contaminant;out;out;out;
Pedicularis;herbaceous;slightly acidic to slightly alkaline;https://pfaf.org/user/Plant.aspx?LatinName=Pedicularis+oliveriana;3;
Pedicularis attollens;contaminant;out;out;out;
Pedicularis dasystachys;contaminant;out;out;out;
Pedicularis dissecta;contaminant;out;out;out;
Pedicularis longiflora;contaminant;out;out;out;
Pedicularis muscicola;contaminant;out;out;out;
Pedicularis oederi;herbaceous;slightly acidic to slightly alkaline;https://pfaf.org/user/Plant.aspx?LatinName=Pedicularis+oliveriana;3;
Pedicularis resupinata;herbaceous;slightly acidic to slightly alkaline;https://pfaf.org/user/Plant.aspx?LatinName=Pedicularis+oliveriana;3;
Pedicularis tristis;herbaceous;slightly acidic to slightly alkaline;https://pfaf.org/user/Plant.aspx?LatinName=Pedicularis+oliveriana;3;
Pedicularis verticillata;herbaceous;slightly acidic to slightly alkaline;https://pfaf.org/user/Plant.aspx?LatinName=Pedicularis+oliveriana;3;
Pedicularis yezoensis;contaminant;out;out;out;
Pelargonium;contaminant;out;out;out;
Pelargonium x hortorum;contaminant;out;out;out;
Peperomia;contaminant;out;out;out;
Persicaria;contaminant;out;out;out;
Persicaria virginiana;contaminant;out;out;out;
Persoonia;contaminant;out;out;out;
Persoonia katerae;contaminant;out;out;out;
Petasites;contaminant;out;out;out;
Petasites japonicus;contaminant;out;out;out;
Petrophytum;contaminant;out;out;out;
Petrophytum caespitosum;contaminant;out;out;out;
Petunia;contaminant;out;out;out;
Petunia x hybrida;contaminant;out;out;out;
Peucedanum;herbaceous;slightly acidic to slightly alkaline;https://pfaf.org/user/Plant.aspx?LatinName=Peucedanum+officinale;3;
Peucedanum falcaria;contaminant;out;out;out;
Phalaenopsis;contaminant;out;out;out;
Phalaenopsis equestris;contaminant;out;out;out;
Phaseolus;contaminant;out;out;out;
Phaseolus vulgaris;contaminant;out;out;out;
Philonotis;moss;unknown;out;out;
Philonotis fontana;moss;unknown;out;out;
Phippsiomeles;contaminant;out;out;out;
Phlegmariurus;contaminant;out;out;out;
Phlegmariurus squarrosus;contaminant;out;out;out;
Phleum;grass;neutral;https://www.fao.org/3/y5576e/y5576e0m.htm;3;
Phleum pratense;grass;neutral;https://www.fao.org/3/y5576e/y5576e0m.htm;3;
Phoenix;contaminant;out;out;out;
Phoenix dactylifera;contaminant;out;out;out;
Phylica;contaminant;out;out;out;
