"";"Abies.sibirica_tree_2";"Abies_tree_2";"Agrostis.stolonifera_grass_3";"Alnus.alnobetula_tree_1";"Alnus_tree_1";"Alopecurus_grass_3";"Androsace_herbaceous_out";"Arabidopsis.lyrata_herbaceous_3";"Arabidopsis_herbaceous_3";"Arabis.alpina_herbaceous_2";"Avena.sativa_grass_1";"Avena_grass_1";"Betula.pendula_shrub_1";"Betula.platyphylla_shrub_1";"Betula_shrub_1";"Bistorta.officinalis_herbaceous_3";"Bistorta.vivipara_herbaceous_3";"Bistorta_herbaceous_3";"Brassica.napus_herbaceous_2";"Brassica.oleracea_herbaceous_2";"Brassica.rapa_herbaceous_2";"Brassica_herbaceous_2";"Bromus_grass_3";"Bryum.argenteum_moss_3";"Caltha.palustris_herbaceous_3";"Caltha_herbaceous_3";"Cardamine_herbaceous_5";"Carex.myosuroides_grass_2";"Carex.nigra_grass_2";"Carex.pallescens_grass_2";"Carex.rupestris_grass_2";"Carex_grass_2";"Cassiope_herbaceous_3";"Chamaenerion.angustifolium_herbaceous_3";"Chamaenerion_herbaceous_3";"Chrysanthemum.boreale_herbaceous_2";"Chrysanthemum_herbaceous_2";"Cirsium_herbaceous_3";"Cuscuta_herbaceous_3";"Deschampsia_grass_2";"Dianthus_herbaceous_2";"Distichium_moss_out";"Draba_herbaceous_4";"Dryas.grandis_herbaceous_3";"Dryas.integrifolia.x.Dryas.octopetala_herbaceous_3";"Dryas.octopetala_herbaceous_3";"Dryas_herbaceous_3";"Dryopteris.fragrans_fern_2";"Dryopteris_fern_2";"Equisetum.arvense_herbaceous_2";"Equisetum_herbaceous_2";"Erigeron_herbaceous_3";"Eriophorum.angustifolium_herbaceous_1";"Eriophorum_herbaceous_1";"Eritrichium_herbaceous_3";"Festuca_grass_pH.tolerant";"Fragaria.vesca_herbaceous_3";"Fragaria_herbaceous_3";"Geranium_herbaceous_2";"Geum_herbaceous_2";"Hedysarum.consanguineum_herbaceous_3";"Hedysarum_herbaceous_3";"Juniperus.communis_shrub_2";"Juniperus_shrub_2";"Larix.sibirica_tree_1";"Larix_tree_1";"Linum.usitatissimum_herbaceous_out";"Linum_herbaceous_out";"Luzula_herbaceous_2";"Marchantia.polymorpha_moss_2";"Medicago_herbaceous_3";"Micranthes.integrifolia_herbaceous_3";"Micranthes_herbaceous_3";"Myosotis.alpestris_herbaceous_3";"Myosotis_herbaceous_3";"Oxygraphis.glacialis_herbaceous_1";"Oxyria.digyna_herbaceous_3";"Oxyria_herbaceous_3";"Papaver.nudicaule_herbaceous_3";"Papaver_herbaceous_3";"Pedicularis.oederi_herbaceous_3";"Pedicularis.verticillata_herbaceous_3";"Pedicularis_herbaceous_3";"Picea.abies_tree_1";"Picea_tree_1";"Pinus_tree_1";"Poa.palustris_grass_2";"Poa.pratensis_grass_2";"Poa_grass_2";"Polytrichastrum.alpinum_moss_unknown";"Polytrichum.commune_moss_3";"Polytrichum.juniperinum_moss_3";"Polytrichum_moss_3";"Populus.alba_shrub_3";"Populus.nigra_shrub_3";"Populus.tremula_shrub_3";"Populus_shrub_3";"Potentilla_herbaceous_2";"Pyrola.rotundifolia_herbaceous_3";"Pyrola_herbaceous_3";"Rhodiola_herbaceous_2";"Ribes_shrub_3";"Rumex.acetosa_herbaceous_1";"Rumex_herbaceous_unknown";"Salix.pentandra_shrub_2";"Salix.rorida_shrub_2";"Salix.sp._shrub_2";"Salix.triandra_shrub_2";"Salix.viminalis.x.Salix.schwerinii_shrub_2";"Salix.viminalis_shrub_2";"Salix_shrub_2";"Saussurea_herbaceous_3";"Saxifraga.cernua_herbaceous_4";"Saxifraga.sinomontana_herbaceous_4";"Saxifraga_herbaceous_4";"Silene.latifolia_herbaceous_1";"Silene_herbaceous_1";"Smelowskia_herbaceous_out";"Spiraea_shrub_2";"Taraxacum_herbaceous_2";"Thymus_herbaceous_2";"Trigonotis.peduncularis_herbaceous_out";"Triticum.aestivum_grass_3";"Triticum_grass_3";"Turritis.glabra_herbaceous_3";"Vaccinium.uliginosum_herbaceous_1";"Vaccinium.vitis.idaea_herbaceous_1";"Vaccinium_herbaceous_1";"Valeriana.officinalis_herbaceous_2";"Valeriana_herbaceous_2";"Veratrum_herbaceous_3";"Veronica_herbaceous_3";"Woodsia_fern_4"
"6869";2,01;1,99;0;35,01;77,37;0;0;0;2,04;0;0;0;135,36;3,62;28,99;0;0;1,93;0;0;0;0;0;0;6,1;1,85;0;0;1,88;0;0;27,62;0;288,38;0;0;0;0;0;1,91;0;0;0;0;0;0;19,73;0;2,14;46,08;62,77;0;0;0;0;0;0;0;11,71;0;0;2,18;0;0;521,95;55,52;0;0;0;0;0;0;0;0;2,22;0;0;0;0;0;0;0;0;306,35;265,53;4,14;0;0;0;0;0;0;0;49,14;0;0;1010,67;0;0;0;0;1,9;0;0;16,55;0;0;0;1,76;1,86;519,09;0;0;0;3,74;0;0;0;2,14;0;0;0;0;1,78;0;0;0;4,06;0;0;3,93;0;0
"7558";0;0;0;32,72;41,31;0;0;0;5,6;5,36;0;0;127,5;10,67;35,21;0;0;2,78;0;0;0;0;0;0;13,74;0;0;0;0;0;0;38,45;0;354,1;3;0;0;0;0;8,54;0;0;0;0;0;11,68;22,01;0;0;40,82;27,71;0;0;0;0;0;0;0;2,55;0;0;0;0;8,74;326,23;16,65;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;207,55;225,47;5,65;0;0;0;0;8,24;0;0;49,47;0;2,23;1351,31;0;2,72;0;0;0;2,54;0;0;0;0;0;0;11,15;507,08;0;0;0;0;0;0;0;0;0;0;0;5,55;0;0;0;0;16,08;0;0;2,59;0;0
"7569";0;1,41;0;26,17;70,09;0;0;0;3,18;1,45;0;0;142,89;6,11;36,99;0;0;1,42;1,58;0;0;0;0;0;5;0;0;0;0;0;0;25,61;0;312,76;0;0;0;1,4;0;1,39;0;0;0;0;0;1,55;18,72;1,6;0;28,53;41,82;0;0;0;0;0;0;1,51;11,48;0;0;0;0;0;393,33;30;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;229,36;207,53;0;0;1,34;0;0;1,47;0;0;44,54;0;0;1334,83;1,57;2,97;0;0;2,75;1,8;0;19,02;0;0;0;0;6,15;493,75;0;0;0;3,12;0;0;0;2,95;0;0;0;3,12;1,4;0;0;1,45;4,88;0;0;3,01;0;0
"8491";0;0,83;0;30,62;48,96;0;0;0;3,86;0;0;0;97,26;10,46;31,66;0;0;7,37;0;1,04;0;0;0;0;1,05;0;0;0;0;0;0;33,93;0;253,25;0;0;1,59;0;1,89;2,76;0;0;0;0;0;1,98;6,19;0,91;0;18,18;41,31;0;0;0;0;0;0;0;3,59;0;0;0;0;0,82;871,51;55,23;0;0;0;0;0,78;0;0;0;0,93;0;0;0;0;0;0;0;0;226,3;196,71;0,83;0;0;0;0;0,97;0;0;44,15;0;1,18;1144,77;2,95;2,63;1,01;0;2,97;0;0;14,32;0;0;0;1,03;4,65;345,43;0;0;0;3,49;0;0;0;9,73;0;0;0;0;0;0;0;0;0;0;0;1,92;0;0
"9157";0;3,34;0;43,89;63,04;0;0;0;4,98;0,67;2,78;0;115,77;7,77;39,34;0;0,6;7,2;0;0;1,18;0;0;0;2,49;0,51;0,65;0;0;0;0;43,75;0;287,4;0,57;0;0,68;0;0;5,29;0;0;0;0;0;5,03;27,71;3,68;7,12;29,79;31,01;0;0;0;0;0;0;0,65;3,94;0;0;1,71;0;0;579,72;53,97;0;0;0;0,57;1,52;0;0;0;0;0;0;0;0;0;0;0;3;105,92;175,12;0,61;0;1,12;0;0;0;0;0;92,31;0;0,49;1389,19;3,91;0;0;0;1,5;0;0;12,91;0;0;0;0;2,7;352,6;0;0;0;3,37;0;0;0;1,71;0;0;0;2,24;1,76;0;0;0,69;1,78;0;0;0,59;1,16;0
"9805";0;0;0;43,09;49,5;0;0;0;4,95;0,91;0;0;120,8;7,28;43,74;0;0;6,18;0,38;0;0;1,16;0;0;0,48;0;0;0;1,32;0;0;41,64;0;244,14;2,62;0,58;0;0,5;0,34;5,38;0;0;0;0;0;0,82;11,53;1,74;1,94;22,88;29,51;0;0;0;0;0;0;1,15;7,47;0;0;0,98;0,34;0,83;615,34;45,74;0,8;0;0;0;0,43;0;0;0;0,54;0;0;0;0;0,42;0;0;0;24,67;38,16;1,51;0;1,22;0;0;0,43;0;0;102,28;0,49;2,06;1544,4;0,4;4,1;0;0;0;0;0;15,88;0;0,37;0;0,44;3,97;455,65;0,26;0;0;3,04;0;0,41;0;4,48;0;0;0;3,07;2,97;0,43;0;0;3,15;0;0,43;0,76;0,52;0
"10086";0;0;0;31,45;55,34;0;0,31;0;4,24;0,52;0;0,7;125,97;10,68;43,52;0;0;4,31;0;0,28;0;0;0;0;0,79;0;0;0;0,33;0;0;23,99;0;194,02;0,68;0;0;0,39;0;4,43;0;0;0,59;0;0;1,14;14,15;1,16;0,57;16,67;15,28;0;0;0;0;0;0;0,34;2,33;0;0;1,64;0,53;0;658,39;55,44;0,33;0;0;0;0,97;0;0;0;0;0;0,59;0;0;0,22;0;0;0,69;6,32;5,87;0;0;0;0;0;0;0;0;112,75;0;2,73;1691,93;0,55;2,37;0;0;0,67;0;0;13,25;0;0;0;0,25;5,68;401,81;0;0;0;2,09;0;0;0;7,69;0;0;0;1,62;0,79;0;0;0,89;1,03;0;1,32;0;0,41;0
"10402";0;0;0;3,86;0;0;0;0;67,09;32,2;0;8,83;90,87;4,18;11,52;0;0;15,62;0;0;0;11,14;0;0;0;0;0;0;0;0;0;142,61;0;278,75;0;0;0;0;0;15,92;0;0;0;0;0;19,95;270,77;0;0;7,84;0;0;0;0;0;0;0;0;0;3,63;0;0;0;0;3,9;0;0;0;0;0;11,6;0;7,93;0;0;0;4,28;0;0;0;0;0;23,84;7,53;4,1;0;0;15,63;4;4,12;8,12;0;0;16,45;0;0;1613,49;0;0;0;0;0;3,98;4,02;27,34;0;0;0;0;11,41;711,48;0;0;0;42,2;0;0;0;0;0;0;0;15,22;7,58;0;0;0;0;0;0;0;0;0
"11508";0;0;0;19,91;24,19;0;0;0,94;4,2;0;3,66;0;39,71;0,86;5,36;0;0;6,54;0;0;0;0;0;0;0,91;0,76;0;0;0,85;0;0;24,74;0;213,91;1,95;0;0;0;0;5,83;0;0;0;0;0;1;21,37;3,78;0,94;13,11;24,05;0;0;0;0;0;0;0;0;0;0;0;1,9;0;1635,53;144,85;0,83;0;0;0;0,77;0;0;0;0;0;0;0;0;0;0;0;0;1,74;0;0;0;4,46;0,91;0;0;0;0;11,66;0;0;874,95;0,89;1,05;0;0;1,94;0;0;14,29;0;1,03;0;0;4,27;398,03;0;0;0;1,68;0;0;0;8,94;0;0;0;0,96;1,88;0;0;0;0,94;0;0,93;0;0;0
"11769";0;0;0;0;2,86;0;0;0;55,65;10,35;0;0;53,67;0;11,43;0;2,49;69,46;0;0;0;5,24;0;2,81;0;0;0;0;2,66;0;0;230,12;0;371,91;2,63;0;0;0;0;44,2;0;0;0;0;0;5,87;187,56;0;0;2,55;2,47;0;0;0;0;0;0;5,41;0;0;0;7,86;0;0;10,72;3,08;0;2,85;0;0;2,79;0;0;0;0;0;0;0;0;11,17;2,74;2,64;23,84;0;10,9;7,89;0;13,18;2,9;2,74;2,69;0;0;30,19;0;0;1338,14;5,35;5,54;0;0;0;0;0;21,78;0;0;0;0;7,99;861,67;0;0;0;56,92;2,67;0;2,8;0;0;0;0;8,59;8,6;0;0;0;2,68;0;2,75;0;0;0
