sample	age
53	53
260	260
712	712
1195	1195
1817	1817
2482	2482
3025	3025
4322	4322
5149	5149
6379	6379
6869	6869
7558	7558
7569	7569
8491	8491
9157	9157
9805	9805
10086	10086
10402	10402
11508	11508
11769	11769
12977	12977
13553	13553
13743	13743
13956	13956
13959	13959
14320	14320
14667	14667
15125	15125
15596	15596
16079	16079
16535	16535
16946	16946
17212	17212
17948	17948
18408	18408
18716	18716
19192	19192
19590	19590
20053	20053
20620	20620
21057	21057
21740	21740
22505	22505
22974	22974
