depth	min	max	median	mean
245	6564	7162	6853	6856
246	6601	7176	6879	6881
247	6629	7198	6905	6905
248	6656	7227	6933	6930
249	6679	7255	6957	6954
250	6696	7283	6981	6979
251	6790	7315	7037	7037
252	6878	7348	7093	7095
253	6961	7382	7152	7153
254	7037	7412	7210	7211
255	7100	7442	7269	7269
256	7146	7489	7330	7327
257	7184	7543	7391	7384
258	7218	7603	7453	7442
259	7244	7680	7518	7500
260	7270	7759	7580	7558
261	7295	7779	7599	7580
262	7312	7803	7617	7601
263	7328	7841	7635	7622
264	7343	7885	7653	7644
265	7357	7932	7671	7665
266	7375	7979	7687	7687
267	7387	8032	7704	7708
268	7398	8093	7721	7729
269	7408	8149	7737	7751
270	7419	8203	7753	7772
271	7439	8222	7775	7793
272	7457	8246	7796	7814
273	7474	8260	7818	7834
274	7487	8286	7839	7855
275	7497	8313	7860	7876
276	7508	8345	7879	7896
277	7522	8382	7901	7917
278	7532	8419	7920	7938
279	7538	8456	7939	7959
280	7547	8501	7958	7979
281	7574	8518	7978	8000
282	7599	8534	8000	8021
283	7618	8555	8021	8041
284	7633	8577	8044	8062
285	7646	8602	8064	8083
286	7663	8631	8086	8103
287	7676	8661	8107	8124
288	7686	8698	8126	8145
289	7697	8729	8146	8165
290	7709	8766	8167	8186
291	7732	8778	8189	8207
292	7753	8800	8211	8228
293	7771	8820	8231	8249
294	7787	8843	8252	8269
295	7802	8860	8275	8290
296	7816	8882	8297	8311
297	7828	8910	8318	8332
298	7840	8935	8341	8353
299	7852	8963	8361	8374
300	7865	9002	8382	8394
301	7888	9021	8404	8416
302	7912	9040	8426	8437
303	7934	9057	8448	8459
304	7956	9074	8470	8480
305	7972	9097	8493	8502
306	7987	9123	8514	8524
307	8001	9149	8536	8545
308	8016	9183	8557	8567
309	8030	9205	8578	8588
310	8042	9229	8597	8610
311	8070	9247	8619	8630
312	8096	9264	8641	8651
313	8111	9278	8663	8672
314	8129	9295	8682	8692
315	8149	9323	8705	8713
316	8164	9343	8728	8734
317	8181	9361	8749	8754
318	8197	9381	8769	8775
319	8211	9408	8789	8796
320	8222	9439	8809	8816
321	8256	9450	8830	8838
322	8280	9466	8851	8859
323	8309	9486	8874	8881
324	8329	9500	8898	8902
325	8344	9523	8919	8924
326	8366	9541	8941	8945
327	8382	9563	8964	8966
328	8398	9582	8990	8988
329	8411	9608	9010	9009
330	8426	9632	9031	9031
331	8454	9647	9051	9052
332	8479	9660	9073	9073
333	8511	9681	9095	9094
334	8532	9696	9118	9115
335	8550	9712	9142	9136
336	8569	9729	9164	9157
337	8587	9750	9186	9178
338	8605	9773	9207	9199
339	8622	9801	9229	9220
340	8636	9829	9249	9241
341	8668	9844	9269	9262
342	8695	9852	9287	9283
